,B-LC386074,B-MT732496,B-MT410493,B-MT723915,B-LC169971,B-LC169960,B-LC169949,B-KF716428,B-KF716425,B-PX212177,B-LC514501,B-LC514512,B-PP862071,B-PP862125,B-OP850417,B-LC514523,B-LC086800,B-LC086789,B-LC086745,B-PX212192,B-LC086811,B-KJ919165,B-LC169993,B-LC169982,B-KC442972,B-LC105586,B-MH182464,B-KC442961,B-KU248414,B-KU248403,B-KC443453,B-KC443198,B-KC178750,B-PP862069,B-OP850416,B-PP862059,B-KC443761,B-KC443629,B-KC443321,B-KC178745,B-LC066670,B-LC066659,B-LC066648,B-MG573370,B-MG573369,B-AB848013,B-LC751938,B-LC751908,B-KY616894,B-AB975925,B-AB975954,B-AB975953,B-AB975923,B-OP850423,B-OP850418,B-OP850422,B-OP850421,B-OP850420,B-PX212113,B-LC514479,B-MZ546121,B-LC514490,B-MH704739,B-MF997044,B-LC228335,B-LC228324,B-LC541991,B-KU870416,B-KU870394,B-KU550318,B-KU550316,B-MH520744,B-LC260316,B-LC228313,B-MH704738,B-PX212115,B-MH520742,B-LC325469,B-KX880423,B-KU550320,B-KU550319,B-KU550317,A-KU199279,A-KC443365,A-KC443220,A-KF716431,A-KJ721745,A-MN479978,A-MN479974,A-MN479966,A-MN479965,A-MN479919,A-KJ721749,A-KC834668,A-PX212212,A-KJ919099,A-KC443354,A-HQ657136,A-KC443005,A-KU356583,A-HQ641362,A-KJ721741,A-KC443343,A-KR705199,B-MN480055,B-MW715615,B-MG701196,B-MG701193,A-KJ752159,A-LC260312,A-LC260310,A-KX880434,A-LC086734,A-LC086723,A-KJ639032,A-KJ639021,A-MG701199,A-MG701191,A-MG701195,A-LC469575,A-KU059797,A-KU059786,A-KU059775,A-MG701198,A-MG701182,A-LC105575,A-PX212175,A-LC569412,A-LC228346,A-LC477630,A-LC228379,A-LC228357,A-LC569457,A-LC569440,A-KJ721750,A-OP717989,A-OP717986,A-MG181665,A-MG181896,A-MG181775
B-LC386074,,100.00,99.05,99.43,99.62,99.62,99.62,93.94,93.56,94.32,94.52,94.52,94.33,94.33,94.52,94.52,94.33,94.33,94.33,94.13,94.33,94.32,93.38,93.38,94.52,93.76,93.38,94.33,94.71,94.71,93.95,93.95,93.95,94.33,94.33,94.33,94.33,94.33,94.33,94.52,94.52,94.52,94.52,94.52,94.52,94.14,93.95,93.95,93.94,93.95,94.14,94.14,94.14,93.76,93.76,93.95,93.95,93.95,93.47,93.76,94.13,93.95,94.14,93.94,93.76,93.57,93.95,94.33,94.33,94.14,93.95,94.14,93.95,94.14,94.33,94.22,94.52,94.33,94.52,94.52,94.52,94.52,85.44,89.04,89.22,88.83,88.47,88.45,88.45,88.45,88.45,88.45,88.47,90.36,90.25,90.15,90.36,89.04,88.85,89.22,89.22,89.04,89.04,89.02,92.80,91.68,92.05,92.05,87.90,86.96,86.96,86.96,87.15,87.15,87.15,87.15,87.50,87.50,87.12,87.33,87.33,87.33,87.33,87.31,87.31,90.55,90.63,90.17,90.17,90.17,90.17,89.98,90.17,90.17,90.74,90.55,90.55,90.74,90.74,90.55
B-MT732496,100.00,,99.05,99.43,99.62,99.62,99.62,93.94,93.56,94.32,94.52,94.52,94.33,94.33,94.52,94.52,94.33,94.33,94.33,94.13,94.33,94.32,93.38,93.38,94.52,93.76,93.38,94.33,94.71,94.71,93.95,93.95,93.95,94.33,94.33,94.33,94.33,94.33,94.33,94.52,94.52,94.52,94.52,94.52,94.52,94.14,93.95,93.95,93.94,93.95,94.14,94.14,94.14,93.76,93.76,93.95,93.95,93.95,93.47,93.76,94.13,93.95,94.14,93.94,93.76,93.57,93.95,94.33,94.33,94.14,93.95,94.14,93.95,94.14,94.33,94.22,94.52,94.33,94.52,94.52,94.52,94.52,85.44,89.04,89.22,88.83,88.47,88.45,88.45,88.45,88.45,88.45,88.47,90.36,90.25,90.15,90.36,89.04,88.85,89.22,89.22,89.04,89.04,89.02,92.80,91.68,92.05,92.05,87.90,86.96,86.96,86.96,87.15,87.15,87.15,87.15,87.50,87.50,87.12,87.33,87.33,87.33,87.33,87.31,87.31,90.55,90.63,90.17,90.17,90.17,90.17,89.98,90.17,90.17,90.74,90.55,90.55,90.74,90.74,90.55
B-MT410493,99.05,99.05,,99.62,99.24,99.24,99.24,93.37,92.99,93.75,93.95,93.95,93.76,93.76,93.95,93.95,93.76,93.76,93.76,93.56,93.76,93.75,92.82,92.82,93.95,93.19,92.82,93.76,94.14,94.14,93.01,93.01,93.38,93.76,93.76,93.76,93.76,93.76,93.76,93.95,93.57,93.57,93.57,93.57,93.57,93.19,93.01,93.01,92.99,93.01,93.19,93.19,93.19,92.82,92.82,93.01,93.01,93.01,92.52,92.82,93.18,93.01,93.19,92.99,92.82,92.63,93.01,93.38,93.38,93.19,93.01,93.19,93.01,93.19,93.38,93.28,93.57,93.38,93.57,93.57,93.57,93.57,84.69,88.85,89.04,88.64,88.28,88.26,88.26,88.26,88.26,88.26,88.28,90.17,90.06,89.96,90.17,88.85,88.66,89.04,89.04,88.85,88.85,89.02,92.23,91.12,91.48,91.48,87.71,86.01,86.01,86.01,86.20,86.20,86.20,86.20,86.55,86.55,86.17,86.39,86.39,86.39,86.39,86.36,86.36,89.98,89.87,89.41,89.41,89.41,89.41,89.22,89.41,89.41,89.98,89.79,89.79,89.98,89.98,89.79
B-MT723915,99.43,99.43,99.62,,99.62,99.62,99.62,93.75,93.37,94.13,94.33,94.33,94.14,94.14,94.33,94.33,94.14,94.14,94.14,93.94,94.14,94.13,93.19,93.19,94.33,93.57,93.19,94.14,94.52,94.52,93.38,93.38,93.76,94.14,94.14,94.14,94.14,94.14,94.14,94.33,93.95,93.95,93.95,93.95,93.95,93.57,93.38,93.38,93.37,93.38,93.57,93.57,93.57,93.19,93.19,93.38,93.38,93.38,92.90,93.19,93.56,93.38,93.57,93.37,93.19,93.01,93.38,93.76,93.76,93.57,93.38,93.57,93.38,93.57,93.76,93.66,93.95,93.76,93.95,93.95,93.95,93.95,85.07,88.85,89.04,88.64,88.28,88.26,88.26,88.26,88.26,88.26,88.28,90.17,90.06,89.96,90.17,88.85,88.66,89.04,89.04,88.85,88.85,89.02,92.61,91.49,91.86,91.86,88.09,86.39,86.39,86.39,86.58,86.58,86.58,86.58,86.93,86.93,86.55,86.77,86.77,86.77,86.77,86.74,86.74,90.36,90.25,89.79,89.79,89.79,89.79,89.60,89.79,89.79,90.36,90.17,90.17,90.36,90.36,90.17
B-LC169971,99.62,99.62,99.24,99.62,,100.00,100.00,93.94,93.56,94.32,94.52,94.52,94.33,94.33,94.52,94.52,94.33,94.33,94.33,94.13,94.33,94.32,93.38,93.38,94.52,93.76,93.38,94.33,94.71,94.71,93.57,93.57,93.95,94.33,94.33,94.33,94.33,94.33,94.33,94.52,94.14,94.14,94.14,94.14,94.14,93.76,93.57,93.57,93.56,93.57,93.76,93.76,93.76,93.38,93.38,93.57,93.57,93.57,93.09,93.38,93.75,93.57,93.76,93.56,93.38,93.19,93.57,93.95,93.95,93.76,93.57,93.76,93.57,93.76,93.95,93.84,94.14,93.95,94.14,94.14,94.14,94.14,85.26,89.04,89.22,88.83,88.47,88.45,88.45,88.45,88.45,88.45,88.47,90.36,90.25,90.15,90.36,89.04,88.85,89.22,89.22,89.04,89.04,89.02,92.80,91.68,92.05,92.05,88.09,86.58,86.58,86.58,86.77,86.77,86.77,86.77,87.12,87.12,86.74,86.96,86.96,86.96,86.96,86.93,86.93,90.36,90.44,89.98,89.98,89.98,89.98,89.79,89.98,89.98,90.55,90.36,90.36,90.55,90.55,90.36
B-LC169960,99.62,99.62,99.24,99.62,100.00,,100.00,93.94,93.56,94.32,94.52,94.52,94.33,94.33,94.52,94.52,94.33,94.33,94.33,94.13,94.33,94.32,93.38,93.38,94.52,93.76,93.38,94.33,94.71,94.71,93.57,93.57,93.95,94.33,94.33,94.33,94.33,94.33,94.33,94.52,94.14,94.14,94.14,94.14,94.14,93.76,93.57,93.57,93.56,93.57,93.76,93.76,93.76,93.38,93.38,93.57,93.57,93.57,93.09,93.38,93.75,93.57,93.76,93.56,93.38,93.19,93.57,93.95,93.95,93.76,93.57,93.76,93.57,93.76,93.95,93.84,94.14,93.95,94.14,94.14,94.14,94.14,85.26,89.04,89.22,88.83,88.47,88.45,88.45,88.45,88.45,88.45,88.47,90.36,90.25,90.15,90.36,89.04,88.85,89.22,89.22,89.04,89.04,89.02,92.80,91.68,92.05,92.05,88.09,86.58,86.58,86.58,86.77,86.77,86.77,86.77,87.12,87.12,86.74,86.96,86.96,86.96,86.96,86.93,86.93,90.36,90.44,89.98,89.98,89.98,89.98,89.79,89.98,89.98,90.55,90.36,90.36,90.55,90.55,90.36
B-LC169949,99.62,99.62,99.24,99.62,100.00,100.00,,93.94,93.56,94.32,94.52,94.52,94.33,94.33,94.52,94.52,94.33,94.33,94.33,94.13,94.33,94.32,93.38,93.38,94.52,93.76,93.38,94.33,94.71,94.71,93.57,93.57,93.95,94.33,94.33,94.33,94.33,94.33,94.33,94.52,94.14,94.14,94.14,94.14,94.14,93.76,93.57,93.57,93.56,93.57,93.76,93.76,93.76,93.38,93.38,93.57,93.57,93.57,93.09,93.38,93.75,93.57,93.76,93.56,93.38,93.19,93.57,93.95,93.95,93.76,93.57,93.76,93.57,93.76,93.95,93.84,94.14,93.95,94.14,94.14,94.14,94.14,85.26,89.04,89.22,88.83,88.47,88.45,88.45,88.45,88.45,88.45,88.47,90.36,90.25,90.15,90.36,89.04,88.85,89.22,89.22,89.04,89.04,89.02,92.80,91.68,92.05,92.05,88.09,86.58,86.58,86.58,86.77,86.77,86.77,86.77,87.12,87.12,86.74,86.96,86.96,86.96,86.96,86.93,86.93,90.36,90.44,89.98,89.98,89.98,89.98,89.79,89.98,89.98,90.55,90.36,90.36,90.55,90.55,90.36
B-KF716428,93.94,93.94,93.37,93.75,93.94,93.94,93.94,,99.62,97.73,97.92,97.92,97.73,97.73,97.92,97.92,97.35,97.35,97.35,97.16,97.35,97.35,97.35,97.35,98.30,97.54,97.54,98.11,98.48,98.48,97.35,97.35,97.73,98.11,98.11,98.11,98.11,98.11,98.11,98.30,97.54,97.54,97.54,97.54,97.54,97.16,96.97,96.97,96.97,96.97,97.16,97.16,97.16,96.78,96.78,96.97,96.97,96.97,96.88,97.16,97.54,97.35,97.54,97.35,97.16,96.97,97.16,97.35,97.35,97.54,97.35,97.54,97.35,97.35,97.54,97.63,97.92,97.73,97.92,97.92,97.92,97.92,84.85,88.07,88.26,88.07,87.88,87.88,87.88,87.88,87.88,87.88,87.88,89.20,89.11,89.02,89.20,88.26,88.07,88.45,88.45,88.26,88.64,88.31,92.80,92.61,92.61,92.61,86.93,87.88,88.07,88.07,87.88,87.88,87.88,87.88,87.88,87.88,87.88,88.07,88.07,88.07,88.07,88.07,88.07,88.45,89.49,89.39,89.39,89.39,89.39,89.20,89.39,89.39,89.96,89.77,89.77,89.96,89.96,89.77
B-KF716425,93.56,93.56,92.99,93.37,93.56,93.56,93.56,99.62,,97.73,97.92,97.92,97.73,97.73,97.92,97.92,97.35,97.35,97.35,97.16,97.35,97.35,97.35,97.35,98.67,97.54,97.16,98.11,98.11,98.11,97.35,97.35,97.73,98.11,98.11,98.11,98.11,98.11,98.11,98.30,97.92,97.92,97.92,97.92,97.92,97.54,97.35,97.35,97.35,97.35,97.54,97.54,97.54,96.40,96.40,96.59,96.59,96.59,96.50,96.78,97.16,96.97,97.16,96.97,96.78,96.59,96.78,96.97,96.97,97.16,96.97,97.16,96.97,96.97,97.16,97.25,97.54,97.35,97.54,97.54,97.54,97.54,84.47,87.69,87.88,87.69,87.50,87.50,87.50,87.50,87.50,87.50,87.50,88.83,88.73,88.64,88.83,87.88,87.69,88.07,88.07,87.88,88.26,88.07,92.42,92.23,92.23,92.23,86.55,87.50,87.69,87.69,87.50,87.50,87.50,87.50,87.50,87.50,87.50,87.69,87.69,87.69,87.69,87.69,87.69,88.07,89.11,89.02,89.02,89.02,89.02,88.83,89.02,89.02,89.58,89.39,89.39,89.58,89.58,89.39
B-PX212177,94.32,94.32,93.75,94.13,94.32,94.32,94.32,97.73,97.73,,99.81,99.81,99.62,99.62,99.81,99.81,99.24,99.24,99.24,99.05,99.24,99.24,96.97,96.97,97.54,98.30,97.54,98.48,98.48,98.48,98.11,98.11,98.48,98.48,98.48,98.48,98.48,98.48,98.48,98.67,97.92,97.92,97.92,97.92,97.92,97.54,97.35,97.35,97.35,97.35,97.54,97.54,97.54,97.16,97.16,97.35,97.35,97.35,97.25,97.54,97.92,97.73,97.54,97.35,97.16,96.97,97.16,97.35,97.35,97.54,97.35,97.16,97.35,97.35,97.54,97.63,97.92,97.73,97.92,97.92,97.92,97.92,85.98,89.58,89.77,89.58,89.39,89.39,89.39,89.39,89.39,89.39,89.39,90.34,90.25,90.15,90.34,89.77,89.20,89.58,89.58,89.39,89.77,89.74,92.99,91.67,92.05,92.05,87.69,87.69,87.69,87.69,87.88,87.88,87.88,87.88,88.26,88.26,87.88,88.07,88.07,88.07,88.07,88.07,88.07,88.07,89.49,89.39,89.39,89.39,89.39,89.20,89.39,89.39,89.96,89.77,89.77,89.96,89.96,89.77
