Clade,Strain,VP4,VP6,VP1,VP2,VP3,NSP1,NSP2,NSP3,NSP4
I,JPN/HC12016/2012/G1P[8],AB848005,AB848006,AB848007,AB848008,AB848009,AB848010,AB848011,AB848012,AB848013
I,JPN/NT004/2012/G1P[8],AB975466,AB975573,AB975623,AB975673,AB975723,AB975773,AB975823,AB975873,AB975923
I,JPN/NT013/2012/G1P[8],AB975472,AB975575,AB975625,AB975675,AB975725,AB975775,AB975825,AB975875,AB975925
I,JPN/YR033/2012/G1P[8],AB975549,AB975603,AB975653,AB975703,AB975753,AB975803,AB975853,AB975903,AB975953
I,JPN/YR034/2012/G1P[8],AB975550,AB975604,AB975654,AB975704,AB975754,AB975804,AB975854,AB975904,AB975954
I,BRA/IAL-R3165/2013/G1P[8],MG599529,MG599533,MG599517,MG599521,MG599525,MG573357,MG573361,MG573365,MG573369
I,BRA/IAL-R3172/2013/G1P[8],MG599530,MG599534,MG599518,MG599522,MG599526,MG573358,MG573362,MG573366,MG573370
I,JPN/JP11435/2013/G1P[8],KY616888,KY616890,KY616885,KY616886,KY616887,KY616889,KY616892,KY616891,KY616894
I,THA/PCB-180/2013/G1P[8],LC066642,LC066643,LC066639,LC066640,LC066641,LC066645,LC066646,LC066647,LC066648
I,THA/SKT-109/2013/G1P[8],LC066653,LC066654,LC066650,LC066651,LC066652,LC066656,LC066657,LC066658,LC066659
I,THA/SSKT-41/2013/G1P[8],LC066664,LC066665,LC066661,LC066662,LC066663,LC066667,LC066668,LC066669,LC066670
I,IDN/D006389b/2014/G3P[8],MH704724,MH704728,MH704718,MH704720,MH704722,MH704726,MH704734,MH704730,MH704738
I,IDN/D009617g/2015/G3P[8],MH704725,MH704729,MH704719,MH704721,MH704723,MH704727,MH704735,MH704731,MH704739
I,BRA/IAL-R330/2015/G3P[8],MH569766,MH569767,MH569747,MH569749,MH569755,MH513953,MH520727,MH520736,MH520742
I,ESP/SS75915299/2015/G3P[8],KU550282,KU550288,KU550264,KU550270,KU550276,KU550300,KU550306,KU550312,KU550318
I,ESP/SS98242319/2015/G3P[8],KU550280,KU550286,KU550262,KU550268,KU550274,KU550298,KU550304,KU550310,KU550316
I,HUN/ERN8148/2015/G3P[8],KU870388,KU870390,KU870385,KU870386,KU870387,KU870389,KU870392,KU870391,KU870394
I,HUN/ERN8263/2015/G3P[8],KU870410,KU870412,KU870407,KU870408,KU870409,KU870411,KU870414,KU870413,KU870416
I,JPN/15R429/2015/G3P[8],LC325461,LC325462,LC325463,LC325464,LC325465,LC325466,LC325467,LC325468,LC325469
I,JPN/IS1078/2015/G3P[8],LC228307,LC228308,LC228304,LC228305,LC228306,LC228310,LC228311,LC228312,LC228313
I,JPN/MU15-10/2015/G1P[8],LC751012,LC751124,LC751236,LC751348,LC751460,LC751572,LC751684,LC751796,LC751908
I,JPN/To15-11/2015/G1P[8],LC751042,LC751154,LC751266,LC751378,LC751490,LC751602,LC751714,LC751826,LC751938
I,USA/3000390639/2015/G3P[8],MF997038,MF997039,MF997035,MF997036,MF997037,MF997041,MF997042,MF997043,MF997044
I,BRA/IAL-R751/2016/G3P[8],MH569765,MH569771,MH569748,MH569753,MH569760,MH513958,MH520732,MH520738,MH520744
I,JPN/MI1125/2016/G3P[8],LC228329,LC228330,LC228326,LC228327,LC228328,LC228332,LC228333,LC228334,LC228335
I,JPN/IS1090/2016/G3P[8],LC228318,LC228319,LC228315,LC228316,LC228317,LC228321,LC228322,LC228323,LC228324
I,JPN/To16-12/2016/G3P[8],LC541983,LC541984,LC541985,LC541986,LC541987,LC541988,LC541989,LC541990,LC541991
I,IDN/SOEP144/2016/G3P[8],LC260228,LC260239,LC260250,LC260261,LC260272,LC260283,LC260294,LC260305,LC260316
I,IRL/16IRL49980/2016/G1P[8],PX211305,PX211600,PX211157,PX212480,PX212628,PX211453,PX211896,PX211748,PX212192
I,IRL/16IRL33182/2016/G3P[8],PX211228,PX211523,PX211080,PX212403,PX212551,PX211376,PX211819,PX211671,PX212115
II,AUS/D388/2013/G3P[8],KU059769,KU059770,KU059766,KU059767,KU059768,KU059772,KU059773,KU059774,KU059775
II,AUS/WAPC1740/2013/G3P[8],KU059780,KU059781,KU059777,KU059778,KU059779,KU059783,KU059784,KU059785,KU059786
II,DOM/3000503707/2014/G3P[8],MG652339,MG670601,MG670629,MG670657,MG670685,MG670713,MG670741,MG670769,MG701182
II,DOM/3000503720/2015/G3P[8],MG652348,MG670610,MG670638,MG670666,MG670694,MG670722,MG670750,MG670778,MG701191
II,IDN/D13/2013/G3P[8],LC430887,LC469484,LC469415,LC469438,LC469461,LC469507,LC469530,LC469553,LC469575
II,THA/SKT-281/2013/G3P[8],LC086717,LC086718,LC086714,LC086715,LC086716,LC086720,LC086721,LC086722,LC086723
II,THA/SKT-289/2013/G3P[8],LC086728,LC086729,LC086725,LC086726,LC086727,LC086731,LC086732,LC086733,LC086734
II,AUS/WAPC2016/2014/G3P[8],KU059791,KU059792,KU059788,KU059789,KU059790,KU059794,KU059795,KU059796,KU059797
II,IDN/SOEP033/2015/G3P[8],LC260222,LC260233,LC260244,LC260255,LC260266,LC260277,LC260288,LC260299,LC260310
