,C-MT732494,C-LC386072,C-MT723913,C-MT410491,C-LC086743,C-LC169969,C-LC169958,C-LC169947,A-KR705197,A-MW715613,A-MG181894,A-MG181773,A-LC105573,A-KJ752157,A-LC514521,A-LC514477,A-LC514510,A-MG181663,A-KJ721766,A-KF716404,A-KF716397,A-MH182454,A-MN479739,A-PP861905,A-PP861895,A-OP850390,A-LC105584,A-MG670755,A-MG670752,A-KC442959,A-LC086798,A-PX211896,A-LC086787,A-LC086809,A-KJ918955,A-LC169991,A-LC169980,A-PP861907,A-PP861961,A-OP850391,A-KF716407,A-KJ721768,A-MN479662,A-MN479658,A-MN479650,A-MN479649,A-MN479603,A-KJ721772,A-KC443341,A-PX211916,A-KJ918889,A-KC443352,A-KJ721763,A-OP717789,A-OP717786,A-PX211879,A-LC228377,A-LC228355,A-LC569337,A-LC569320,A-LC569292,A-LC477570,A-LC228344,A-HQ657134,A-KC443363,A-KC443218,A-KC443003,A-KC834693,A-KU356581,A-HQ641360,B-PX211817,B-PX211819,B-LC228333,B-LC228322,B-OP850397,B-OP850396,B-OP850395,B-OP850394,B-OP850392,B-LC514499,B-LC514488,B-MH520727,B-MH520732,B-MH704734,B-LC228311,B-KX880421,B-KU550307,B-MZ546119,B-KU550308,B-KU550305,B-KU870414,B-KU870392,B-LC541989,B-MF997042,B-KU550306,B-KU550304,B-MG670750,B-MG670758,B-MG670741,B-LC086732,B-LC086721,B-MG670757,B-MG670754,B-LC066668,B-LC066657,B-LC066646,B-LC260290,B-LC325467,B-MH704735,B-MG573362,B-MG573361,B-LC260294,B-LC260288,B-KX880432,B-KU059795,B-KU059784,B-AB975854,B-AB975825,B-KY616892,B-KU059773,B-LC751684,B-LC751714,B-LC469530,B-AB975853,B-AB975823,B-AB848011,B-KC443451,B-KC443196,B-KJ639030,B-KJ639019,B-PX211881,B-KC178727,B-KC443759,B-KC443627,B-KC443319,B-KC442970,B-KU248412,B-KU248401,B-KC178733,B-KU199277
C-MT732494,,99.90,99.58,99.58,99.37,99.58,99.58,99.58,83.60,86.69,87.21,87.21,87.00,86.90,86.48,86.48,86.16,86.48,86.58,86.06,85.74,86.48,86.79,86.69,86.79,86.90,86.58,86.06,86.06,86.37,86.48,86.48,86.27,86.37,86.06,86.37,86.37,86.16,86.37,86.37,86.37,86.37,86.48,86.48,86.58,86.58,86.58,86.58,87.00,86.16,86.48,86.48,86.90,86.69,86.79,86.01,86.48,86.27,86.37,86.37,86.37,86.37,86.37,87.00,86.69,86.69,86.27,86.58,86.06,86.79,86.95,87.11,86.69,86.69,87.11,87.11,87.11,87.11,87.11,87.00,86.79,86.58,86.90,86.69,86.69,86.69,86.69,86.79,86.79,86.79,86.58,86.58,86.69,86.79,86.79,86.79,86.06,86.37,86.27,86.27,86.27,86.27,86.27,86.58,86.58,86.79,86.37,86.69,86.69,86.58,86.64,86.27,86.37,86.37,86.27,86.37,86.20,86.46,86.37,86.37,86.37,86.48,86.48,86.31,86.35,86.48,86.37,86.27,86.48,86.48,86.32,86.43,86.48,86.48,86.48,86.58,86.79,86.79,86.69,86.79
C-LC386072,99.90,,99.69,99.69,99.48,99.69,99.69,99.69,83.49,86.58,87.11,87.11,86.90,86.79,86.37,86.37,86.06,86.37,86.48,85.95,85.64,86.37,86.69,86.58,86.69,86.79,86.48,85.95,85.95,86.27,86.37,86.37,86.16,86.27,85.95,86.27,86.27,86.06,86.27,86.27,86.27,86.27,86.37,86.37,86.48,86.48,86.48,86.48,86.90,86.06,86.37,86.37,86.79,86.58,86.69,85.90,86.37,86.16,86.27,86.27,86.27,86.27,86.27,86.90,86.58,86.58,86.16,86.48,85.95,86.69,86.84,87.00,86.58,86.58,87.00,87.00,87.00,87.00,87.00,86.90,86.69,86.48,86.79,86.58,86.58,86.58,86.58,86.69,86.69,86.69,86.48,86.48,86.58,86.69,86.69,86.69,85.95,86.27,86.16,86.16,86.16,86.16,86.16,86.48,86.48,86.69,86.27,86.58,86.58,86.48,86.53,86.16,86.27,86.27,86.16,86.27,86.09,86.35,86.27,86.27,86.27,86.37,86.37,86.20,86.24,86.37,86.27,86.16,86.37,86.37,86.22,86.32,86.37,86.37,86.37,86.48,86.69,86.69,86.58,86.69
C-MT723913,99.58,99.69,,99.79,99.58,99.79,99.79,99.79,83.81,86.90,87.42,87.42,87.21,87.11,86.69,86.69,86.37,86.69,86.79,86.27,85.95,86.69,87.00,86.90,87.00,87.11,86.79,86.27,86.27,86.58,86.69,86.69,86.48,86.58,86.27,86.58,86.58,86.37,86.58,86.58,86.58,86.58,86.69,86.69,86.79,86.79,86.79,86.79,87.21,86.37,86.69,86.69,87.11,86.90,87.00,86.22,86.69,86.48,86.58,86.58,86.58,86.58,86.58,87.21,86.90,86.90,86.48,86.79,86.27,87.00,87.16,87.32,86.90,86.90,87.32,87.32,87.32,87.32,87.32,87.21,87.00,86.79,87.11,86.90,86.90,86.90,86.90,87.00,87.00,87.00,86.79,86.79,86.90,87.00,87.00,87.00,86.27,86.58,86.48,86.48,86.48,86.48,86.48,86.79,86.79,87.00,86.58,86.90,86.90,86.79,86.84,86.48,86.58,86.58,86.48,86.58,86.41,86.67,86.58,86.58,86.58,86.69,86.69,86.52,86.56,86.69,86.58,86.48,86.69,86.69,86.53,86.64,86.69,86.69,86.69,86.79,87.00,87.00,86.90,87.00
C-MT410491,99.58,99.69,99.79,,99.58,99.79,99.79,99.79,83.60,86.69,87.21,87.21,87.00,86.90,86.69,86.69,86.37,86.48,86.58,86.06,85.74,86.48,86.79,86.69,86.79,86.90,86.58,86.06,86.06,86.37,86.48,86.48,86.27,86.37,86.06,86.37,86.37,86.16,86.37,86.37,86.37,86.37,86.48,86.48,86.58,86.58,86.58,86.58,87.00,86.16,86.48,86.48,86.90,86.69,86.79,86.01,86.48,86.27,86.37,86.37,86.37,86.37,86.37,87.00,86.69,86.69,86.27,86.58,86.06,86.79,86.95,87.11,86.69,86.69,87.11,87.11,87.11,87.11,87.11,87.00,86.79,86.58,86.90,86.69,86.69,86.69,86.69,86.79,86.79,86.79,86.58,86.58,86.69,86.79,86.79,86.79,86.06,86.37,86.27,86.27,86.27,86.27,86.27,86.58,86.58,86.79,86.37,86.69,86.69,86.58,86.64,86.27,86.37,86.37,86.27,86.37,86.20,86.46,86.37,86.37,86.37,86.48,86.48,86.31,86.35,86.48,86.37,86.27,86.48,86.48,86.32,86.43,86.48,86.48,86.48,86.58,86.79,86.79,86.69,86.79
C-LC086743,99.37,99.48,99.58,99.58,,99.79,99.79,99.79,83.81,86.90,87.42,87.42,87.21,87.11,86.69,86.69,86.37,86.69,86.79,86.27,85.95,86.69,86.79,86.69,86.79,86.90,86.79,86.27,86.27,86.58,86.69,86.69,86.48,86.58,86.27,86.58,86.58,86.37,86.58,86.58,86.58,86.58,86.69,86.69,86.79,86.79,86.79,86.79,87.21,86.37,86.69,86.69,87.11,86.90,87.00,86.22,86.69,86.48,86.58,86.58,86.58,86.58,86.58,87.21,86.90,86.90,86.27,86.79,86.27,87.00,87.16,87.32,86.90,86.90,87.32,87.32,87.32,87.32,87.32,87.21,87.00,86.79,87.11,86.90,86.90,86.90,86.90,87.00,87.00,87.00,86.79,86.79,86.90,87.00,87.00,87.00,86.27,86.58,86.48,86.48,86.48,86.48,86.48,86.79,86.79,87.00,86.58,86.90,86.90,86.79,86.84,86.48,86.58,86.58,86.48,86.58,86.41,86.67,86.58,86.58,86.58,86.69,86.69,86.52,86.56,86.69,86.58,86.48,86.69,86.69,86.53,86.64,86.69,86.69,86.69,86.79,87.00,87.00,86.90,87.00
C-LC169969,99.58,99.69,99.79,99.79,99.79,,100.00,100.00,83.81,86.90,87.42,87.42,87.21,87.11,86.69,86.69,86.37,86.69,86.79,86.27,85.95,86.69,86.79,86.69,86.79,86.90,86.79,86.27,86.27,86.58,86.69,86.69,86.48,86.58,86.27,86.58,86.58,86.37,86.58,86.58,86.58,86.58,86.69,86.69,86.79,86.79,86.79,86.79,87.21,86.37,86.69,86.69,87.11,86.90,87.00,86.22,86.69,86.48,86.58,86.58,86.58,86.58,86.58,87.21,86.90,86.90,86.48,86.79,86.27,87.00,87.16,87.32,86.90,86.90,87.32,87.32,87.32,87.32,87.32,87.21,87.00,86.79,87.11,86.90,86.90,86.90,86.90,87.00,87.00,87.00,86.79,86.79,86.90,87.00,87.00,87.00,86.27,86.58,86.48,86.48,86.48,86.48,86.48,86.79,86.79,87.00,86.58,86.90,86.90,86.79,86.84,86.48,86.58,86.58,86.48,86.58,86.41,86.67,86.58,86.58,86.58,86.69,86.69,86.52,86.56,86.69,86.58,86.48,86.69,86.69,86.53,86.64,86.69,86.69,86.69,86.79,87.00,87.00,86.90,87.00
C-LC169958,99.58,99.69,99.79,99.79,99.79,100.00,,100.00,83.81,86.90,87.42,87.42,87.21,87.11,86.69,86.69,86.37,86.69,86.79,86.27,85.95,86.69,86.79,86.69,86.79,86.90,86.79,86.27,86.27,86.58,86.69,86.69,86.48,86.58,86.27,86.58,86.58,86.37,86.58,86.58,86.58,86.58,86.69,86.69,86.79,86.79,86.79,86.79,87.21,86.37,86.69,86.69,87.11,86.90,87.00,86.22,86.69,86.48,86.58,86.58,86.58,86.58,86.58,87.21,86.90,86.90,86.48,86.79,86.27,87.00,87.16,87.32,86.90,86.90,87.32,87.32,87.32,87.32,87.32,87.21,87.00,86.79,87.11,86.90,86.90,86.90,86.90,87.00,87.00,87.00,86.79,86.79,86.90,87.00,87.00,87.00,86.27,86.58,86.48,86.48,86.48,86.48,86.48,86.79,86.79,87.00,86.58,86.90,86.90,86.79,86.84,86.48,86.58,86.58,86.48,86.58,86.41,86.67,86.58,86.58,86.58,86.69,86.69,86.52,86.56,86.69,86.58,86.48,86.69,86.69,86.53,86.64,86.69,86.69,86.69,86.79,87.00,87.00,86.90,87.00
C-LC169947,99.58,99.69,99.79,99.79,99.79,100.00,100.00,,83.81,86.90,87.42,87.42,87.21,87.11,86.69,86.69,86.37,86.69,86.79,86.27,85.95,86.69,86.79,86.69,86.79,86.90,86.79,86.27,86.27,86.58,86.69,86.69,86.48,86.58,86.27,86.58,86.58,86.37,86.58,86.58,86.58,86.58,86.69,86.69,86.79,86.79,86.79,86.79,87.21,86.37,86.69,86.69,87.11,86.90,87.00,86.22,86.69,86.48,86.58,86.58,86.58,86.58,86.58,87.21,86.90,86.90,86.48,86.79,86.27,87.00,87.16,87.32,86.90,86.90,87.32,87.32,87.32,87.32,87.32,87.21,87.00,86.79,87.11,86.90,86.90,86.90,86.90,87.00,87.00,87.00,86.79,86.79,86.90,87.00,87.00,87.00,86.27,86.58,86.48,86.48,86.48,86.48,86.48,86.79,86.79,87.00,86.58,86.90,86.90,86.79,86.84,86.48,86.58,86.58,86.48,86.58,86.41,86.67,86.58,86.58,86.58,86.69,86.69,86.52,86.56,86.69,86.58,86.48,86.69,86.69,86.53,86.64,86.69,86.69,86.69,86.79,87.00,87.00,86.90,87.00
A-KR705197,83.60,83.49,83.81,83.60,83.81,83.81,83.81,83.81,,92.53,92.64,92.53,93.06,92.95,93.06,93.06,92.74,94.22,93.69,93.38,93.48,93.17,93.48,93.27,93.38,93.38,93.48,93.48,93.48,93.90,93.27,93.27,93.48,93.90,93.69,93.80,93.80,93.69,93.90,93.90,93.69,93.80,93.90,93.90,94.01,94.01,94.01,94.01,93.48,93.09,93.59,93.59,94.74,95.16,95.16,93.53,93.80,93.80,93.90,93.90,93.90,93.90,93.90,94.11,93.90,93.90,94.01,94.01,93.69,94.43,92.38,92.72,92.74,92.74,92.32,92.32,92.32,92.32,92.32,92.64,92.64,92.74,92.85,92.95,92.95,92.85,92.85,92.95,92.95,92.95,92.74,92.74,92.85,92.95,92.95,92.95,92.64,92.64,92.85,92.85,92.85,92.74,92.74,92.95,92.95,93.17,92.85,92.85,93.06,93.38,93.43,93.06,92.95,92.95,93.06,93.17,93.08,93.21,93.17,93.17,93.06,93.17,93.27,93.18,93.21,93.27,93.69,93.59,93.27,93.27,93.01,93.43,93.48,93.48,93.48,93.59,93.80,93.80,93.90,93.48
A-MW715613,86.69,86.58,86.90,86.69,86.90,86.90,86.90,86.90,92.53,,98.32,98.32,98.01,97.90,95.60,95.60,95.28,95.91,95.70,95.81,95.91,95.39,95.91,95.49,95.91,95.81,95.49,95.60,95.60,96.12,95.70,95.91,96.12,96.23,96.12,96.44,96.44,96.44,96.44,96.44,96.23,96.44,96.75,96.54,96.65,96.65,96.65,96.65,96.65,95.60,96.02,96.02,96.54,96.75,96.65,96.17,96.33,96.33,96.44,96.44,96.44,96.44,96.44,96.44,96.23,96.23,96.33,96.86,96.12,96.86,94.92,95.18,94.97,94.97,94.65,94.65,94.65,94.65,94.65,95.18,95.18,95.28,95.18,95.18,95.18,95.18,95.18,95.28,95.28,95.28,95.07,95.07,95.18,95.28,95.28,95.28,94.97,94.97,95.18,95.18,95.18,95.07,95.07,95.49,95.28,95.49,95.07,95.28,95.39,95.70,95.75,95.39,95.28,95.28,95.39,95.49,95.44,95.45,95.49,95.49,95.39,95.49,95.60,95.54,95.56,95.60,95.81,95.70,95.70,95.70,95.34,95.65,95.81,95.81,95.81,95.81,96.12,96.12,96.23,96.02
