,B-PX211453,B-PX211376,B-PX211374,A-PX211436,A-PX211473,A-PX211438,B-MH182449,A-MN479581,A-PP861813,A-PP861823,A-OP850377,A-MG181893,A-MG181772,A-MW715610,A-LC105572,A-KJ752156,A-KC443002,A-KU356580,A-HQ641359,A-LC569277,A-LC477540,A-LC228343,A-LC228376,A-LC228354,A-LC569260,A-LC569232,A-OP717689,A-OP717686,A-MG181662,A-HQ657133,A-KR705196,A-KC443340,A-KC443362,A-KC443217,A-KC834696,A-KJ918784,A-KC443351,A-PP861879,A-PP861825,A-OP850378,A-LC514509,A-LC514476,A-KF716387,A-LC169990,A-LC169979,A-KJ721779,A-KJ721773,A-KJ721783,A-MN479504,A-MN479500,A-MN479492,A-MN479491,A-MN479445,A-MG670727,A-MG670724,A-LC105583,A-KF716394,A-KF716391,A-KC442958,A-KJ721778,A-KC178724,A-KC442969,A-KU248411,A-KU248400,A-KU199276,B-LC514520,B-KC178718,B-KC443450,B-KC443195,B-KC443758,B-KC443626,B-KC443318,B-KJ918850,B-LC086808,B-LC086797,B-LC086786,B-MH704726,B-LC325466,B-MH513958,B-KU550300,B-KU550298,B-KU870411,B-KU870389,B-MF997041,B-OP850382,B-OP850381,B-OP850384,B-OP850383,B-OP850379,B-LC260283,B-LC514487,B-MH513953,B-LC228310,B-LC514498,B-MZ546118,B-KU550301,B-KU550299,B-KX880420,B-KU550302,B-LC541988,B-MH704727,B-LC228332,B-LC228321,B-LC260279,B-MT732493,B-LC386071,B-LC086742,B-LC169968,B-LC169957,B-LC169946,B-LC260277,B-KX880431,B-MG670730,B-MG670726,B-MG670729,B-LC086731,B-LC086720,B-KU059794,B-KU059783,B-KU059772,B-MG670722,B-MG670713,B-KJ639029,B-KJ639018,B-AB975803,B-AB975775,B-AB848010,B-LC751572,B-LC751602,B-KY616889,B-AB975804,B-AB975773,B-MT723912,B-MT410490,B-LC469507,B-MG573358,B-MG573357,B-LC066645,B-LC066667,B-LC066656
B-PX211453,,98.78,98.21,96.35,95.57,95.99,93.69,92.85,92.57,92.43,92.57,92.29,92.43,92.71,92.99,92.71,93.97,94.11,94.11,93.13,92.99,93.13,93.13,93.13,93.13,93.13,92.99,93.13,93.13,92.43,92.99,92.85,92.57,92.57,92.85,92.29,92.29,92.43,92.29,92.57,92.57,92.57,92.29,92.29,92.29,92.71,92.71,92.99,92.43,92.71,92.71,92.71,92.71,94.25,94.25,94.67,94.39,94.11,94.53,94.81,94.95,94.67,94.67,94.81,94.95,94.95,94.95,95.79,95.79,95.51,95.51,95.51,96.07,96.07,96.35,96.35,95.51,95.09,95.23,95.51,95.51,95.51,95.51,95.51,94.81,94.53,94.67,94.53,94.67,95.23,94.95,95.37,95.37,95.09,95.51,95.37,95.37,95.51,95.51,94.81,94.81,94.81,94.81,95.51,95.79,95.93,95.79,95.65,95.65,95.65,95.09,95.09,95.37,95.37,95.23,95.65,95.65,95.51,95.65,95.65,95.51,95.51,95.51,95.51,95.23,95.51,95.37,95.51,95.51,95.51,95.51,95.51,95.51,95.65,95.65,95.65,95.65,95.79,95.79,95.79
B-PX211376,98.78,,99.07,96.28,95.78,96.21,93.90,93.06,92.78,92.64,92.78,92.36,92.50,92.64,92.92,92.64,94.18,94.32,94.32,93.06,92.92,93.06,93.06,93.06,93.06,93.06,92.92,93.06,93.34,92.64,93.48,92.78,92.78,92.78,93.06,92.50,92.50,92.64,92.50,92.78,92.78,92.78,92.50,92.92,92.92,92.64,92.92,93.20,92.64,92.92,92.92,92.92,92.92,94.46,94.46,94.88,94.60,94.32,94.74,95.02,95.16,94.88,94.88,95.02,95.16,95.16,95.16,96.00,96.00,95.72,95.72,95.72,95.72,95.44,95.72,95.72,96.28,95.86,96.00,96.28,96.28,96.28,96.28,96.28,95.58,95.30,95.44,95.30,95.44,96.00,95.72,96.14,96.14,95.86,96.28,96.14,96.14,96.28,96.28,95.30,95.30,95.30,95.30,96.00,96.00,95.86,96.28,96.14,96.14,96.14,95.58,95.58,95.86,95.86,95.86,96.14,96.14,96.00,96.14,96.14,96.00,96.00,96.00,96.00,95.72,96.00,95.86,96.00,96.00,96.00,96.00,96.00,96.00,96.14,96.14,96.14,96.14,96.28,96.28,96.28
B-PX211374,98.21,99.07,,95.71,95.21,95.64,93.34,92.50,92.22,92.08,92.22,92.08,91.94,92.08,92.36,92.08,93.62,93.76,93.76,92.50,92.36,92.50,92.50,92.50,92.50,92.50,92.36,92.50,92.78,92.08,92.64,92.22,92.50,92.50,92.50,91.94,91.94,92.08,91.94,92.22,92.22,92.22,92.22,92.08,92.08,92.08,92.36,92.64,92.36,92.64,92.64,92.64,92.64,94.18,94.18,94.32,94.04,93.76,94.18,94.46,94.60,94.32,94.32,94.46,94.60,94.60,94.60,95.44,95.44,95.16,95.16,95.16,95.16,94.88,95.16,95.16,95.72,95.30,95.44,95.72,95.72,95.72,95.72,95.72,95.86,95.58,95.72,95.58,95.72,95.44,96.00,95.58,95.58,96.14,96.00,95.86,95.86,96.00,96.00,94.74,94.74,94.74,94.74,95.44,95.44,95.30,95.72,95.58,95.58,95.58,95.02,95.02,95.30,95.30,95.30,95.58,95.58,95.44,95.58,95.58,95.44,95.44,95.44,95.44,95.16,95.44,95.30,95.44,95.44,95.44,95.44,95.44,95.44,95.58,95.58,95.58,95.58,95.72,95.72,95.72
A-PX211436,96.35,96.28,95.71,,96.78,96.92,91.51,91.23,90.95,90.81,90.95,92.92,93.06,93.34,93.62,93.06,93.48,93.62,93.62,95.30,95.30,95.44,95.44,95.44,95.44,95.44,94.74,94.88,93.48,93.34,93.90,93.76,93.48,93.48,93.76,93.48,93.48,93.62,93.48,93.76,93.76,93.76,93.48,93.48,93.48,93.62,93.62,94.18,93.62,93.90,93.90,93.90,93.90,92.64,92.64,93.06,93.06,92.78,92.64,93.20,93.34,93.06,93.06,93.20,93.34,92.50,92.50,93.62,93.62,93.06,93.06,93.06,93.06,93.06,93.06,93.06,93.06,92.64,93.06,93.06,93.06,93.06,93.06,93.06,92.36,92.08,92.22,92.08,92.22,92.78,92.50,92.92,92.92,92.64,93.06,92.92,92.92,93.06,93.06,92.36,92.36,92.36,92.36,93.06,93.06,93.20,93.34,93.20,93.20,93.20,92.78,92.78,92.92,92.92,92.78,93.20,93.20,93.06,93.20,93.20,93.06,93.06,93.06,93.06,92.78,93.06,92.92,93.06,93.06,93.06,93.06,93.06,93.06,93.20,93.20,93.20,93.20,93.34,93.34,93.34
A-PX211473,95.57,95.78,95.21,96.78,,97.85,91.30,91.58,91.30,91.16,91.30,92.99,93.13,93.41,93.69,93.13,93.55,93.69,93.69,94.11,93.97,94.11,94.11,94.11,94.11,94.11,94.25,94.39,93.83,93.83,94.25,94.11,94.11,94.11,95.51,96.49,96.49,94.53,94.39,94.67,94.67,94.67,94.39,94.39,94.39,94.53,94.53,95.09,94.53,94.81,94.81,94.81,94.81,92.99,92.99,93.13,92.85,92.57,92.71,93.27,93.41,93.13,93.13,93.27,93.41,92.57,92.57,93.13,93.13,92.85,92.85,92.85,92.57,92.57,92.57,92.57,92.85,92.15,92.57,92.57,92.57,92.57,92.57,92.57,91.87,91.58,91.73,91.58,91.73,92.29,92.01,92.43,92.71,92.15,92.57,92.43,92.43,92.57,92.57,91.87,91.87,91.87,91.87,92.57,92.57,92.71,92.85,92.71,92.71,92.71,92.43,92.43,92.43,92.43,92.29,92.71,92.71,92.57,92.71,92.71,92.57,92.57,92.57,92.57,92.29,92.57,92.43,92.57,92.57,92.57,92.57,92.57,92.57,92.71,92.71,92.71,92.71,92.85,92.85,92.85
A-PX211438,95.99,96.21,95.64,96.92,97.85,,91.44,91.44,91.16,91.02,91.16,93.13,93.55,93.83,94.11,93.55,93.69,93.83,93.83,93.97,93.83,93.97,93.97,93.97,93.97,93.97,94.39,94.53,94.25,94.11,94.67,94.25,94.81,94.81,94.81,94.53,94.53,95.79,95.65,95.93,95.93,95.93,94.81,95.09,95.09,95.51,95.51,96.07,95.51,95.79,95.79,95.79,95.79,92.85,92.85,93.27,93.27,92.99,93.13,93.41,93.27,93.27,93.27,93.41,93.55,92.71,92.99,93.55,93.55,93.27,93.27,93.27,92.99,92.71,92.99,92.99,92.99,92.57,92.99,92.99,92.99,92.99,92.99,92.99,92.29,92.01,92.15,92.01,92.15,92.71,92.43,92.85,92.85,92.85,92.99,92.85,92.85,92.99,92.99,92.29,92.29,92.29,92.29,92.99,92.99,93.13,93.27,93.13,93.13,93.13,92.57,92.57,92.85,92.85,92.71,93.13,93.13,92.99,93.13,93.13,92.99,92.99,92.99,92.99,92.71,92.99,92.85,92.99,92.99,92.99,92.99,92.99,92.99,93.13,93.13,93.13,93.13,93.27,93.27,93.27
B-MH182449,93.69,93.90,93.34,91.51,91.30,91.44,,96.01,95.80,95.66,95.94,95.25,95.32,95.18,95.52,95.32,96.83,96.83,96.69,95.66,95.52,95.59,95.59,95.59,95.66,95.66,95.52,95.52,95.80,95.80,95.94,95.80,95.32,95.32,95.66,95.45,95.52,95.11,95.18,95.39,95.45,95.39,95.59,95.59,95.59,95.45,95.66,95.80,95.66,95.80,95.80,95.80,95.80,97.04,97.11,97.11,97.04,96.90,97.04,97.18,97.45,97.31,97.31,97.52,97.59,98.48,98.00,97.52,97.59,98.07,98.07,98.07,97.73,97.38,97.66,97.59,97.25,96.97,96.76,97.18,97.18,97.25,97.25,97.38,96.83,96.69,96.76,96.76,96.90,97.38,96.97,96.97,97.31,97.04,97.18,97.18,97.18,97.25,97.25,97.18,97.11,97.04,97.04,96.97,97.38,97.45,97.45,97.38,97.38,97.38,97.25,97.25,97.38,97.38,97.31,97.66,97.66,97.66,97.73,97.73,97.45,97.59,97.45,97.52,97.49,97.56,97.59,97.59,97.66,97.66,97.63,97.63,97.38,97.45,97.38,97.66,97.66,97.59,97.59,97.66
A-MN479581,92.85,93.06,92.50,91.23,91.58,91.44,96.01,,99.38,99.24,99.52,95.52,95.52,95.59,95.80,95.73,97.25,97.25,97.11,95.80,95.66,95.73,95.73,95.73,95.80,95.80,95.66,95.66,96.21,95.80,96.35,96.07,95.73,95.73,95.94,95.73,95.80,95.25,95.32,95.45,95.59,95.52,95.94,95.87,95.87,95.87,96.21,96.21,95.94,96.07,96.07,96.07,96.07,97.18,97.25,97.25,97.45,97.31,97.31,97.59,97.59,97.87,97.87,98.07,98.14,96.83,97.31,97.25,97.31,97.52,97.52,97.52,97.45,97.38,97.38,97.45,96.83,96.56,96.49,96.76,96.76,96.83,96.83,96.83,96.56,96.56,96.63,96.63,96.63,96.69,96.83,96.69,96.90,96.76,96.76,97.04,96.90,96.97,96.97,96.49,96.56,96.49,96.49,96.69,96.97,97.04,97.04,97.11,97.11,97.11,96.83,96.83,96.97,96.97,96.90,97.25,97.25,97.25,97.31,97.31,97.04,97.18,97.04,97.25,96.93,97.00,97.04,97.04,97.11,97.11,97.07,97.07,96.97,97.04,97.11,97.25,97.25,97.18,97.18,97.25
A-PP861813,92.57,92.78,92.22,90.95,91.30,91.16,95.80,99.38,,99.45,99.72,95.32,95.32,95.39,95.59,95.52,96.90,96.76,96.63,95.45,95.32,95.39,95.39,95.39,95.45,95.45,95.32,95.32,95.87,95.59,96.01,95.73,95.39,95.39,95.59,95.39,95.45,95.04,95.11,95.11,95.25,95.18,95.59,95.52,95.52,95.52,95.87,95.87,95.59,95.73,95.73,95.73,95.73,96.83,96.90,97.04,97.25,97.25,97.11,97.25,97.25,97.52,97.52,97.73,97.80,96.63,96.97,96.90,96.97,97.18,97.18,97.18,97.11,97.04,97.04,97.11,96.49,96.21,96.28,96.42,96.42,96.49,96.49,96.49,96.35,96.35,96.42,96.42,96.42,96.35,96.63,96.49,96.56,96.56,96.69,96.83,96.69,96.76,96.76,96.14,96.21,96.14,96.14,96.35,96.63,96.69,96.69,96.76,96.76,96.76,96.49,96.49,96.76,96.76,96.69,96.90,96.90,96.90,96.97,96.97,96.83,96.97,96.69,96.90,96.58,96.65,96.69,96.83,96.76,96.76,96.72,96.72,96.63,96.69,96.76,96.90,96.90,96.83,96.83,96.90
A-PP861823,92.43,92.64,92.08,90.81,91.16,91.02,95.66,99.24,99.45,,99.59,95.18,95.18,95.25,95.59,95.39,96.76,96.63,96.49,95.32,95.18,95.25,95.25,95.25,95.32,95.32,95.18,95.18,95.73,95.45,95.87,95.59,95.25,95.25,95.45,95.25,95.32,94.90,94.97,94.97,95.11,95.04,95.45,95.39,95.39,95.39,95.73,95.73,95.45,95.59,95.59,95.59,95.59,96.69,96.76,96.90,97.11,97.11,96.97,97.11,97.11,97.38,97.38,97.59,97.66,96.49,96.83,96.76,96.83,97.04,97.04,97.04,96.97,96.90,96.90,96.97,96.49,96.21,96.14,96.42,96.42,96.49,96.49,96.49,96.21,96.21,96.28,96.28,96.28,96.35,96.49,96.35,96.56,96.35,96.56,96.69,96.56,96.63,96.63,96.01,96.07,96.01,96.01,96.21,96.49,96.56,96.69,96.63,96.63,96.63,96.35,96.35,96.49,96.49,96.42,96.76,96.76,96.76,96.83,96.83,96.56,96.69,96.56,96.76,96.44,96.51,96.56,96.56,96.63,96.63,96.58,96.58,96.49,96.56,96.63,96.76,96.76,96.69,96.69,96.76
