,D-HQ657138,D-LC169962,D-LC169951,D-LC169940,D-MT723917,D-MT410495,A-PX211140,A-KC443345,A-LC569097,A-LC477450,A-LC569080,A-LC228370,A-LC569052,A-LC228348,A-LC228337,A-OP717089,A-OP717086,A-LC105569,A-KJ752161,A-MG181887,A-MG181766,A-KC443367,A-KC443222,A-PX211177,A-KJ721724,A-KJ721726,A-MN479030,A-MN479026,A-MN479018,A-MN478971,A-MN479017,A-KF716360,A-KC834711,A-KJ919308,A-KC443356,B-KJ639023,B-KJ639012,B-LC260244,B-KX880428,B-MG670645,B-MG670646,B-MG670642,B-KU059788,B-KU059777,B-KU059766,B-MG670638,B-MG670629,B-LC086725,B-LC086714,B-LC469415,B-LC260246,B-PX211157,B-LC169984,B-LC169973,B-KJ919372,B-LC086802,B-LC086791,B-LC086780,B-LC086736,B-KC178763,B-KC443763,B-KC443323,B-KC443631,B-KC443455,B-KC443200,B-PX211078,B-LC514470,B-MZ546115,B-KX880417,B-KU550266,B-KU550265,B-KU550263,B-LC325463,B-MH704719,B-LC541985,B-LC228326,B-LC228315,B-MT732498,B-LC386065,B-LC514481,B-MG599518,B-MG599517,B-AB975623,B-AB975625,B-AB975653,B-AB848007,B-AB975654,B-LC751266,B-LC751236,B-KY616885,B-LC066661,B-LC066650,B-LC066639,B-PX211080,B-LC260250,B-KU550264,B-KU550262,B-KU870407,B-KU870385,B-MH569748,B-MH569747,B-MF997035,B-MH704718,B-LC228304,B-KC442974,B-KC178768,B-KU356574,B-HQ641355,B-KC443007,B-KR705201,C-KJ721719,C-LC105580,C-MN479107,C-PP861577,C-PP861567,C-OP850442,C-PX211142,C-KC442963,C-KJ721722,C-LC514503,C-OP850443,C-PP861633,C-PP861579,C-KU199270,C-MG181656,C-MW715606,C-MG670643,C-MG670640,C-LC514514,C-MH166403,C-LC514492,C-OP850448,C-OP850447,C-OP850449,C-OP850446,C-OP850444,C-KF716356,C-KF716349,C-KU248405,C-KU248394
D-HQ657138,,91.52,91.55,91.55,91.49,91.42,86.17,86.25,86.44,86.41,86.41,86.41,86.47,86.38,86.44,86.38,86.32,86.25,86.32,86.01,86.13,85.82,85.82,85.30,86.25,86.21,86.10,86.13,86.13,86.13,86.16,86.22,86.16,86.16,86.25,86.22,86.28,86.07,86.10,86.04,86.10,86.13,86.07,86.07,86.13,86.16,86.16,86.13,86.13,86.35,86.25,86.24,86.16,86.10,86.38,86.44,86.35,86.35,86.38,86.50,86.41,86.41,86.38,86.38,86.38,86.45,86.32,86.35,86.41,86.35,86.41,86.35,86.56,86.50,86.53,86.53,86.66,86.28,86.25,86.50,86.35,86.47,86.53,86.59,86.56,86.53,86.50,86.50,86.50,86.53,86.44,86.44,86.41,86.61,86.53,86.41,86.44,86.41,86.38,86.38,86.38,86.41,86.53,86.44,86.01,86.07,85.91,86.19,86.19,86.47,86.41,86.16,86.35,86.41,86.44,86.50,86.03,86.02,86.22,85.82,85.82,85.60,85.70,86.22,86.04,86.13,86.25,86.32,85.85,86.38,86.01,86.10,86.13,86.10,86.10,86.16,86.19,86.19,85.98,86.16
D-LC169962,91.52,,99.97,99.97,99.72,99.72,86.47,86.59,86.59,86.63,86.63,86.69,86.75,86.66,86.66,86.66,86.72,86.63,86.50,86.28,86.28,86.59,86.59,85.84,86.78,86.67,86.63,86.66,86.66,86.66,86.69,86.69,86.56,86.56,86.59,86.59,86.66,86.63,86.59,86.47,86.53,86.56,86.56,86.50,86.56,86.59,86.59,86.63,86.63,86.78,86.56,86.69,86.78,86.78,86.66,86.72,86.56,86.66,86.63,86.89,86.78,86.78,86.75,86.75,86.75,86.68,86.63,86.69,86.75,86.69,86.75,86.69,86.97,86.90,87.00,86.93,87.06,86.69,86.66,86.78,86.69,86.81,86.93,87.00,87.00,86.93,86.90,86.90,86.90,86.93,86.78,86.78,86.75,86.80,86.97,86.87,86.90,86.87,86.84,86.78,86.78,86.87,86.87,86.78,86.35,86.47,86.35,86.66,86.81,86.75,86.81,86.32,86.41,86.32,86.35,86.35,85.89,86.19,86.32,85.82,85.88,85.73,85.70,86.59,85.85,86.22,86.35,86.47,85.94,86.22,86.04,85.94,85.98,85.94,85.94,85.94,86.16,86.25,85.91,86.25
D-LC169951,91.55,99.97,,100.00,99.75,99.75,86.44,86.56,86.56,86.59,86.59,86.66,86.72,86.63,86.63,86.63,86.69,86.59,86.47,86.25,86.25,86.56,86.56,85.81,86.75,86.64,86.59,86.63,86.63,86.63,86.66,86.66,86.53,86.53,86.56,86.56,86.63,86.59,86.56,86.44,86.50,86.53,86.53,86.47,86.53,86.56,86.56,86.59,86.59,86.75,86.53,86.66,86.75,86.75,86.63,86.69,86.53,86.63,86.59,86.86,86.75,86.75,86.72,86.72,86.72,86.65,86.59,86.66,86.72,86.66,86.72,86.66,86.93,86.87,86.97,86.90,87.03,86.66,86.63,86.75,86.66,86.78,86.90,86.97,86.97,86.90,86.87,86.87,86.87,86.90,86.75,86.75,86.72,86.76,86.93,86.84,86.87,86.84,86.81,86.75,86.75,86.84,86.84,86.75,86.32,86.44,86.32,86.63,86.78,86.72,86.78,86.28,86.38,86.28,86.32,86.32,85.86,86.16,86.28,85.79,85.85,85.70,85.67,86.56,85.82,86.19,86.32,86.44,85.91,86.19,86.01,85.91,85.94,85.91,85.91,85.91,86.13,86.22,85.88,86.22
D-LC169940,91.55,99.97,100.00,,99.75,99.75,86.44,86.56,86.56,86.59,86.59,86.66,86.72,86.63,86.63,86.63,86.69,86.59,86.47,86.25,86.25,86.56,86.56,85.81,86.75,86.64,86.59,86.63,86.63,86.63,86.66,86.66,86.53,86.53,86.56,86.56,86.63,86.59,86.56,86.44,86.50,86.53,86.53,86.47,86.53,86.56,86.56,86.59,86.59,86.75,86.53,86.66,86.75,86.75,86.63,86.69,86.53,86.63,86.59,86.86,86.75,86.75,86.72,86.72,86.72,86.65,86.59,86.66,86.72,86.66,86.72,86.66,86.93,86.87,86.97,86.90,87.03,86.66,86.63,86.75,86.66,86.78,86.90,86.97,86.97,86.90,86.87,86.87,86.87,86.90,86.75,86.75,86.72,86.76,86.93,86.84,86.87,86.84,86.81,86.75,86.75,86.84,86.84,86.75,86.32,86.44,86.32,86.63,86.78,86.72,86.78,86.28,86.38,86.28,86.32,86.32,85.86,86.16,86.28,85.79,85.85,85.70,85.67,86.56,85.82,86.19,86.32,86.44,85.91,86.19,86.01,85.91,85.94,85.91,85.91,85.91,86.13,86.22,85.88,86.22
D-MT723917,91.49,99.72,99.75,99.75,,99.81,86.34,86.50,86.50,86.53,86.53,86.59,86.66,86.56,86.56,86.56,86.63,86.53,86.41,86.19,86.19,86.44,86.44,85.81,86.69,86.58,86.53,86.56,86.56,86.56,86.59,86.63,86.56,86.56,86.59,86.69,86.75,86.72,86.69,86.56,86.63,86.66,86.66,86.59,86.66,86.69,86.69,86.72,86.72,86.81,86.53,86.66,86.69,86.69,86.63,86.69,86.53,86.63,86.59,86.86,86.75,86.75,86.72,86.72,86.72,86.65,86.59,86.66,86.75,86.66,86.72,86.66,86.93,86.87,86.97,86.90,87.03,86.59,86.56,86.69,86.66,86.78,86.84,86.90,86.90,86.84,86.81,86.81,86.81,86.84,86.69,86.69,86.66,86.76,86.93,86.84,86.87,86.84,86.81,86.75,86.75,86.84,86.84,86.75,86.28,86.41,86.25,86.56,86.72,86.66,86.78,86.28,86.38,86.28,86.32,86.32,85.86,86.16,86.28,85.79,85.85,85.70,85.67,86.56,85.82,86.19,86.32,86.44,85.91,86.19,86.01,85.91,85.94,85.91,85.91,85.91,86.13,86.22,85.88,86.22
D-MT410495,91.42,99.72,99.75,99.75,99.81,,86.41,86.59,86.59,86.63,86.63,86.69,86.75,86.66,86.66,86.66,86.72,86.63,86.50,86.28,86.28,86.53,86.53,85.77,86.78,86.67,86.63,86.66,86.66,86.66,86.69,86.66,86.53,86.53,86.56,86.59,86.66,86.63,86.59,86.47,86.53,86.56,86.56,86.50,86.56,86.59,86.59,86.63,86.63,86.84,86.56,86.63,86.78,86.78,86.66,86.72,86.56,86.66,86.63,86.89,86.78,86.78,86.75,86.75,86.75,86.62,86.56,86.69,86.78,86.69,86.75,86.69,86.97,86.90,87.00,86.93,87.06,86.63,86.59,86.72,86.69,86.81,86.87,86.93,86.93,86.87,86.84,86.84,86.84,86.87,86.72,86.72,86.69,86.80,86.97,86.87,86.90,86.87,86.84,86.78,86.78,86.87,86.87,86.78,86.38,86.50,86.32,86.66,86.81,86.75,86.87,86.32,86.41,86.32,86.35,86.35,85.89,86.19,86.32,85.82,85.88,85.73,85.70,86.59,85.85,86.22,86.35,86.47,85.94,86.22,86.04,85.94,85.98,85.94,85.94,85.94,86.16,86.25,85.91,86.25
A-PX211140,86.17,86.47,86.44,86.44,86.34,86.41,,97.91,98.82,98.82,98.85,98.85,98.85,98.88,98.88,98.52,98.52,97.71,97.61,97.51,97.58,96.54,96.54,96.91,97.14,97.39,97.14,97.24,97.24,97.24,97.27,96.57,97.17,96.94,97.04,96.34,96.40,96.23,96.27,96.23,96.30,96.34,96.37,96.37,96.44,96.34,96.47,96.40,96.40,96.40,96.44,96.32,96.57,96.57,96.54,96.47,96.54,96.47,96.54,96.84,97.01,97.01,96.97,96.64,96.70,95.99,95.87,95.97,96.07,96.00,96.07,96.00,96.30,96.54,96.37,96.37,96.37,96.13,96.10,96.30,96.37,96.44,96.44,96.44,96.47,96.44,96.40,96.40,96.40,96.44,96.34,96.34,96.34,96.23,96.03,96.23,96.23,96.17,96.13,96.27,96.23,96.20,96.37,96.30,96.97,97.14,97.07,97.38,97.04,97.44,94.66,94.22,94.15,94.02,93.99,93.99,94.21,94.49,94.79,94.09,94.26,94.05,94.05,95.36,94.29,94.09,94.26,94.22,94.15,94.15,94.09,93.99,93.89,93.99,93.95,93.92,94.15,94.19,94.15,94.52
A-KC443345,86.25,86.59,86.56,86.56,86.50,86.59,97.91,,98.54,98.61,98.64,98.64,98.70,98.67,98.67,98.64,98.61,98.30,98.14,97.93,97.96,97.62,97.62,96.91,98.42,98.59,98.36,98.45,98.45,98.45,98.48,97.62,98.27,98.05,98.14,97.55,97.62,97.46,97.49,97.49,97.55,97.59,97.59,97.59,97.65,97.49,97.68,97.65,97.65,97.71,97.68,97.20,97.68,97.68,97.65,97.52,97.55,97.55,97.62,97.94,98.17,98.17,98.14,97.83,97.89,97.10,97.03,97.18,97.31,97.24,97.24,97.24,97.43,97.62,97.55,97.55,97.55,97.43,97.40,97.52,97.65,97.71,97.71,97.71,97.71,97.71,97.68,97.68,97.68,97.71,97.65,97.65,97.62,97.35,97.28,97.52,97.49,97.40,97.37,97.52,97.46,97.46,97.68,97.59,97.89,98.08,97.86,98.39,98.11,98.45,95.57,94.83,94.77,94.55,94.52,94.52,94.98,95.09,95.45,94.74,95.05,94.80,94.80,96.38,94.89,94.80,94.95,94.95,94.83,94.89,94.74,94.64,94.55,94.58,94.58,94.58,94.74,94.74,94.83,95.23
A-LC569097,86.44,86.59,86.56,86.56,86.50,86.59,98.82,98.54,,99.75,99.78,99.78,99.78,99.81,99.81,99.10,99.07,98.20,98.11,97.89,98.05,97.15,97.15,96.35,97.77,98.00,97.83,97.93,97.93,97.93,97.96,97.09,97.65,97.43,97.52,96.90,96.97,96.81,96.84,96.84,96.90,96.93,96.93,96.93,97.00,96.90,97.03,97.00,97.00,97.06,97.03,96.70,97.09,97.09,97.06,96.93,97.03,96.97,97.03,97.29,97.59,97.59,97.55,97.24,97.31,96.54,96.44,96.53,96.72,96.66,96.72,96.66,96.78,97.03,96.90,96.90,96.90,96.84,96.81,96.93,97.00,97.06,97.06,97.12,97.09,97.06,97.03,97.03,97.03,97.06,97.00,97.00,96.97,96.83,96.63,96.87,96.84,96.81,96.78,96.87,96.81,96.81,97.03,96.93,97.43,97.55,97.21,97.77,97.55,97.86,95.11,94.58,94.52,94.37,94.33,94.33,94.57,94.75,95.14,94.40,94.64,94.40,94.40,96.01,94.71,94.49,94.67,94.64,94.49,94.55,94.40,94.33,94.24,94.33,94.27,94.27,94.49,94.49,94.55,94.92
A-LC477450,86.41,86.63,86.59,86.59,86.53,86.63,98.82,98.61,99.75,,99.91,99.85,99.85,99.88,99.88,99.16,99.13,98.24,98.14,97.89,97.99,97.21,97.21,96.39,97.83,98.07,97.89,97.99,97.99,97.99,98.02,97.15,97.71,97.49,97.59,96.97,97.03,96.87,96.90,96.90,96.97,97.00,97.00,97.00,97.06,96.97,97.09,97.06,97.06,97.12,97.09,96.76,97.15,97.15,97.12,97.00,97.09,97.03,97.09,97.35,97.65,97.65,97.62,97.31,97.37,96.60,96.56,96.59,96.78,96.72,96.78,96.72,96.84,97.09,96.97,96.97,96.97,96.90,96.87,97.00,97.06,97.12,97.12,97.18,97.15,97.12,97.09,97.09,97.09,97.12,97.06,97.06,97.03,96.95,96.69,96.93,96.90,96.87,96.84,96.93,96.87,96.87,97.09,97.00,97.49,97.62,97.28,97.83,97.62,97.93,95.08,94.58,94.52,94.37,94.33,94.33,94.57,94.75,95.14,94.33,94.64,94.40,94.46,96.01,94.71,94.49,94.67,94.64,94.49,94.55,94.40,94.33,94.24,94.33,94.27,94.27,94.49,94.49,94.55,94.92
