Segment,n_A,Within_A_identity_%,Within_A_distance_%,n_B,Within_B_identity_%,Within_B_distance_%,n_C,Within_C_identity_%,Within_C_distance_%,n_D,Within_D_identity_%,Within_D_distance_%,B_vs_A_between_identity_%,B_vs_A_between_distance_%,B_vs_A_identity_ratio,B_vs_A_distance_ratio,B_vs_C_between_identity_%,B_vs_C_between_distance_%,B_vs_C_identity_ratio,B_vs_C_distance_ratio,B_vs_D_between_identity_%,B_vs_D_between_distance_%,B_vs_D_identity_ratio,B_vs_D_distance_ratio
VP1,29,98.0850,1.9150,75,98.9054,1.0946,30,97.8659,2.1341,6,97.0480,2.9520,97.0751,2.9249,1.0189,0.3742,94.2904,5.7096,1.0489,0.1917,86.6576,13.3424,1.1413,0.0820
VP2,65,97.7203,2.2797,75,99.2960,0.7040,0,,,0,,,97.4807,2.5193,1.0186,0.2794,,,,,,,,
VP3,50,97.7170,2.2830,66,99.0964,0.9036,24,95.8394,4.1606,0,,,96.9484,3.0516,1.0222,0.2961,87.4309,12.5691,1.1334,0.0719,,,,
VP4,33,97.2458,2.7542,89,98.6771,1.3229,0,,,0,,,96.3073,3.6927,1.0246,0.3582,,,,,,,,
VP6,55,98.3726,1.6274,85,98.6803,1.3197,0,,,0,,,96.5970,3.4030,1.0216,0.3878,,,,,,,,
NSP1,61,97.0829,2.9171,79,98.7674,1.2326,0,,,0,,,96.6012,3.3988,1.0224,0.3627,,,,,,,,
NSP2,62,97.5434,2.4566,70,98.9896,1.0104,8,99.7200,0.2800,0,,,96.8890,3.1110,1.0217,0.3248,86.7074,13.2926,1.1417,0.0760,,,,
NSP3,65,97.9139,2.0861,75,99.1810,0.8190,0,,,0,,,97.2449,2.7551,1.0199,0.2973,,,,,,,,
NSP4,54,91.6958,8.3042,86,96.9878,3.0122,0,,,0,,,88.6120,11.3880,1.0945,0.2645,,,,,,,,
