,C-KC443457,C-KC443202,C-KC178781,C-KC443633,C-KC443325,C-KC443765,C-MH170019,C-LC514516,C-LC514505,C-LC514494,C-PX212613,C-KJ721711,C-KU248407,C-KU248396,C-KU199272,C-MW715608,C-MG670699,C-MG670701,C-MG670696,C-LC105582,C-MN479423,C-PP861741,C-OP850468,C-PP861731,B-KC443369,B-KC443224,B-KJ639025,B-KJ639014,B-PX212549,B-OP850475,B-OP850472,B-OP850473,B-OP850470,B-OP850474,B-LC514472,B-LC514483,B-MZ546117,B-KX880419,B-KU550278,B-KU550275,B-KU550277,B-PX212551,B-LC541987,B-LC228328,B-LC228317,B-LC260268,B-MH704723,B-MH704722,B-LC469461,B-LC260266,B-KX880430,B-MH569755,B-LC325465,B-MF997037,B-LC228306,B-LC260272,B-MH569760,B-KU550276,B-KU550274,B-KU870387,B-KU870409,B-MT732500,B-LC386067,B-MT723919,B-MT410497,B-LC066641,B-LC066663,B-LC066652,B-LC169964,B-LC169953,B-LC169942,B-AB975754,B-AB975753,B-AB975725,B-AB975723,B-AB848009,B-LC751490,B-LC751460,B-KY616887,B-MG599526,B-MG599525,B-KU059790,B-MG670685,B-MG670702,B-MG670698,B-KU059779,B-KU059768,B-MG670694,B-LC086727,B-LC086716,A-KU356576,A-MG181889,A-MG181768,A-LC105571,A-KJ752163,A-HQ657140,A-KC443009,A-HQ641357,A-KF716382,A-KF716380,A-KC442965,A-KC442976,A-KC178786,A-KC443347,A-MG181658,A-KR705203,A-KJ721708,A-PX212611,A-OP717289,A-OP717286,A-LC569217,A-LC228372,A-LC228339,A-LC569172,A-LC569200,A-LC477510,A-LC228350,A-KC834705,A-PX212648,A-KJ919519,A-KC443358,A-MN479346,A-MN479342,A-MN479334,A-MN479333,A-MN479287,A-KJ721717,A-KJ721713,A-PX212628,A-LC086804,A-LC086738,A-LC086793,A-LC086782,A-KJ919584,A-PP861743,A-PP861797,A-OP850469,A-KF716374,A-LC169986,A-LC169975
C-KC443457,,99.96,98.72,99.08,99.08,99.08,91.46,91.50,91.58,91.58,91.04,91.46,91.42,91.46,91.50,91.22,91.10,91.14,91.26,91.26,91.22,91.14,91.22,91.22,87.90,87.78,87.66,87.82,87.86,87.74,87.74,87.78,87.78,87.82,87.50,87.82,87.70,87.82,87.78,87.78,87.82,87.78,87.74,87.82,87.78,87.94,87.78,87.82,87.98,87.90,87.90,87.82,87.82,87.78,87.86,87.82,87.82,87.78,87.78,87.74,87.78,87.74,87.74,87.54,87.70,87.90,87.86,87.82,87.70,87.74,87.74,87.75,87.87,87.83,87.98,87.98,87.90,87.90,87.90,87.86,87.90,88.02,87.98,87.98,87.94,88.02,87.98,88.02,88.02,88.02,88.82,87.62,87.54,87.70,87.62,87.23,88.18,87.70,87.90,88.02,87.94,88.14,88.22,88.26,87.62,88.06,87.86,87.39,87.90,87.82,87.54,87.62,87.54,87.66,87.58,87.66,87.66,88.02,87.90,87.90,87.94,87.58,87.54,87.58,87.58,87.58,87.54,87.47,88.00,87.98,88.10,88.10,88.02,88.14,87.39,87.43,87.58,87.66,87.62,87.66
C-KC443202,99.96,,98.76,99.12,99.12,99.12,91.42,91.46,91.54,91.54,91.00,91.42,91.38,91.42,91.46,91.18,91.06,91.10,91.22,91.22,91.18,91.10,91.18,91.18,87.86,87.74,87.62,87.78,87.82,87.70,87.70,87.74,87.74,87.78,87.47,87.78,87.66,87.78,87.74,87.74,87.78,87.74,87.70,87.78,87.74,87.90,87.74,87.78,87.94,87.86,87.86,87.78,87.78,87.74,87.82,87.78,87.78,87.74,87.74,87.70,87.74,87.70,87.70,87.50,87.66,87.86,87.82,87.78,87.66,87.70,87.70,87.71,87.83,87.79,87.94,87.94,87.86,87.86,87.86,87.82,87.86,87.98,87.94,87.94,87.90,87.98,87.94,87.98,87.98,87.98,88.78,87.58,87.50,87.66,87.58,87.19,88.14,87.66,87.86,87.98,87.90,88.10,88.18,88.22,87.58,88.02,87.82,87.35,87.86,87.78,87.50,87.58,87.50,87.62,87.54,87.62,87.62,87.98,87.86,87.86,87.90,87.54,87.50,87.54,87.54,87.54,87.50,87.43,87.96,87.94,88.06,88.06,87.98,88.10,87.35,87.39,87.54,87.70,87.58,87.62
C-KC178781,98.72,98.76,,99.64,99.64,99.64,91.74,91.70,91.78,91.78,91.16,91.58,91.62,91.66,91.70,91.42,91.30,91.34,91.46,91.42,91.42,91.22,91.30,91.30,87.58,87.47,87.35,87.50,87.47,87.35,87.43,87.39,87.39,87.43,87.19,87.50,87.39,87.50,87.47,87.47,87.50,87.47,87.50,87.50,87.47,87.62,87.47,87.50,87.66,87.58,87.58,87.50,87.50,87.47,87.54,87.50,87.50,87.47,87.47,87.43,87.47,87.50,87.50,87.31,87.47,87.58,87.54,87.50,87.47,87.58,87.58,87.46,87.59,87.55,87.66,87.66,87.58,87.58,87.58,87.54,87.58,87.82,87.78,87.70,87.66,87.74,87.70,87.74,87.74,87.74,88.50,87.07,86.99,87.47,87.31,86.99,87.94,87.31,87.58,87.70,87.62,87.82,87.90,88.02,87.31,87.66,87.47,87.07,87.66,87.58,87.23,87.31,87.31,87.35,87.27,87.35,87.35,87.70,87.58,87.58,87.62,87.35,87.31,87.35,87.35,87.35,87.23,87.15,87.60,87.58,87.70,87.70,87.62,87.74,87.07,87.11,87.27,87.35,87.31,87.35
C-KC443633,99.08,99.12,99.64,,100.00,100.00,91.90,91.86,91.94,91.94,91.40,91.82,91.78,91.82,91.86,91.58,91.46,91.50,91.62,91.58,91.58,91.38,91.46,91.46,87.78,87.66,87.54,87.70,87.66,87.54,87.54,87.58,87.58,87.62,87.39,87.70,87.58,87.70,87.66,87.66,87.70,87.66,87.70,87.70,87.66,87.82,87.66,87.70,87.86,87.78,87.78,87.70,87.70,87.66,87.74,87.70,87.70,87.66,87.66,87.62,87.66,87.62,87.62,87.43,87.58,87.78,87.74,87.70,87.58,87.62,87.62,87.63,87.75,87.71,87.86,87.86,87.78,87.78,87.78,87.74,87.78,88.02,87.90,87.90,87.86,87.94,87.90,87.94,87.94,87.94,88.70,87.27,87.19,87.66,87.50,87.19,88.14,87.50,87.78,87.90,87.82,88.02,88.10,88.22,87.58,87.94,87.74,87.27,87.78,87.70,87.43,87.50,87.43,87.54,87.47,87.54,87.54,87.90,87.78,87.78,87.82,87.54,87.50,87.54,87.54,87.54,87.43,87.35,87.88,87.86,87.98,87.98,87.90,88.02,87.19,87.23,87.39,87.54,87.43,87.47
C-KC443325,99.08,99.12,99.64,100.00,,100.00,91.90,91.86,91.94,91.94,91.40,91.82,91.78,91.82,91.86,91.58,91.46,91.50,91.62,91.58,91.58,91.38,91.46,91.46,87.78,87.66,87.54,87.70,87.66,87.54,87.54,87.58,87.58,87.62,87.39,87.70,87.58,87.70,87.66,87.66,87.70,87.66,87.70,87.70,87.66,87.82,87.66,87.70,87.86,87.78,87.78,87.70,87.70,87.66,87.74,87.70,87.70,87.66,87.66,87.62,87.66,87.62,87.62,87.43,87.58,87.78,87.74,87.70,87.58,87.62,87.62,87.63,87.75,87.71,87.86,87.86,87.78,87.78,87.78,87.74,87.78,88.02,87.90,87.90,87.86,87.94,87.90,87.94,87.94,87.94,88.70,87.27,87.19,87.66,87.50,87.19,88.14,87.50,87.78,87.90,87.82,88.02,88.10,88.22,87.58,87.94,87.74,87.27,87.78,87.70,87.43,87.50,87.43,87.54,87.47,87.54,87.54,87.90,87.78,87.78,87.82,87.54,87.50,87.54,87.54,87.54,87.43,87.35,87.88,87.86,87.98,87.98,87.90,88.02,87.19,87.23,87.39,87.54,87.43,87.47
C-KC443765,99.08,99.12,99.64,100.00,100.00,,91.90,91.86,91.94,91.94,91.40,91.82,91.78,91.82,91.86,91.58,91.46,91.50,91.62,91.58,91.58,91.38,91.46,91.46,87.78,87.66,87.54,87.70,87.66,87.54,87.54,87.58,87.58,87.62,87.39,87.70,87.58,87.70,87.66,87.66,87.70,87.66,87.70,87.70,87.66,87.82,87.66,87.70,87.86,87.78,87.78,87.70,87.70,87.66,87.74,87.70,87.70,87.66,87.66,87.62,87.66,87.62,87.62,87.43,87.58,87.78,87.74,87.70,87.58,87.62,87.62,87.63,87.75,87.71,87.86,87.86,87.78,87.78,87.78,87.74,87.78,88.02,87.90,87.90,87.86,87.94,87.90,87.94,87.94,87.94,88.70,87.27,87.19,87.66,87.50,87.19,88.14,87.50,87.78,87.90,87.82,88.02,88.10,88.22,87.58,87.94,87.74,87.27,87.78,87.70,87.43,87.50,87.43,87.54,87.47,87.54,87.54,87.90,87.78,87.78,87.82,87.54,87.50,87.54,87.54,87.54,87.43,87.35,87.88,87.86,87.98,87.98,87.90,88.02,87.19,87.23,87.39,87.54,87.43,87.47
C-MH170019,91.46,91.42,91.74,91.90,91.90,91.90,,99.04,99.12,99.16,97.29,97.80,98.52,98.56,98.60,97.76,97.80,97.84,97.96,98.20,98.16,97.88,97.96,97.96,87.62,87.50,87.27,87.43,87.25,87.23,87.31,87.19,87.19,87.23,87.15,87.31,87.19,87.39,87.35,87.35,87.39,87.43,87.43,87.43,87.39,87.66,87.47,87.47,87.70,87.62,87.62,87.31,87.43,87.43,87.50,87.47,87.62,87.43,87.43,87.39,87.43,87.39,87.39,87.31,87.43,87.54,87.58,87.54,87.50,87.54,87.54,87.34,87.46,87.43,87.62,87.62,87.62,87.62,87.62,87.58,87.62,87.66,87.66,87.62,87.58,87.66,87.62,87.66,87.66,87.66,90.14,87.15,87.07,87.35,87.03,87.23,87.58,87.47,87.66,87.70,87.70,87.90,87.90,87.58,87.19,87.58,87.47,87.66,87.74,87.66,87.50,87.58,87.54,87.54,87.54,87.62,87.62,87.74,87.60,87.62,87.66,87.39,87.43,87.39,87.39,87.39,87.35,87.27,87.70,87.54,87.66,87.74,87.58,87.70,87.50,87.54,87.70,87.47,87.90,87.94
C-LC514516,91.50,91.46,91.70,91.86,91.86,91.86,99.04,,99.92,99.88,97.19,97.60,98.28,98.32,98.36,97.52,97.56,97.60,97.72,97.96,97.92,97.80,97.80,97.80,87.50,87.39,87.23,87.39,87.21,87.11,87.27,87.15,87.15,87.19,87.11,87.27,87.15,87.35,87.31,87.31,87.35,87.39,87.39,87.39,87.35,87.62,87.43,87.35,87.66,87.58,87.58,87.27,87.39,87.39,87.39,87.43,87.58,87.39,87.39,87.35,87.39,87.35,87.35,87.27,87.39,87.50,87.54,87.50,87.47,87.50,87.50,87.30,87.42,87.39,87.58,87.58,87.58,87.58,87.58,87.54,87.58,87.62,87.62,87.58,87.54,87.62,87.58,87.62,87.62,87.62,90.26,87.27,87.19,87.47,87.15,87.35,87.62,87.50,87.82,87.86,87.74,88.02,88.02,87.86,87.15,87.62,87.50,87.62,87.70,87.62,87.47,87.54,87.50,87.50,87.50,87.58,87.58,87.70,87.56,87.58,87.62,87.27,87.31,87.27,87.27,87.27,87.31,87.23,87.58,87.50,87.62,87.70,87.54,87.66,87.54,87.58,87.74,87.43,87.86,87.90
C-LC514505,91.58,91.54,91.78,91.94,91.94,91.94,99.12,99.92,,99.96,97.27,97.68,98.36,98.40,98.44,97.60,97.64,97.68,97.80,98.04,98.00,97.80,97.88,97.88,87.58,87.47,87.23,87.39,87.21,87.11,87.27,87.15,87.15,87.19,87.11,87.27,87.15,87.35,87.31,87.31,87.35,87.39,87.39,87.39,87.35,87.62,87.43,87.35,87.66,87.58,87.58,87.27,87.39,87.39,87.39,87.43,87.58,87.39,87.39,87.35,87.39,87.35,87.35,87.27,87.39,87.50,87.54,87.50,87.47,87.50,87.50,87.30,87.42,87.39,87.58,87.58,87.58,87.58,87.58,87.54,87.58,87.62,87.62,87.58,87.54,87.62,87.58,87.62,87.62,87.62,90.34,87.27,87.19,87.47,87.15,87.35,87.62,87.50,87.82,87.86,87.74,88.02,88.02,87.86,87.15,87.62,87.50,87.62,87.70,87.62,87.47,87.54,87.50,87.50,87.50,87.58,87.58,87.70,87.56,87.58,87.62,87.27,87.31,87.27,87.27,87.27,87.31,87.23,87.58,87.50,87.62,87.70,87.54,87.66,87.54,87.58,87.74,87.43,87.86,87.90
C-LC514494,91.58,91.54,91.78,91.94,91.94,91.94,99.16,99.88,99.96,,97.31,97.72,98.40,98.44,98.48,97.64,97.68,97.72,97.84,98.08,98.04,97.84,97.92,97.92,87.58,87.47,87.23,87.39,87.21,87.11,87.27,87.15,87.15,87.19,87.11,87.27,87.15,87.35,87.31,87.31,87.35,87.39,87.39,87.39,87.35,87.62,87.43,87.35,87.66,87.58,87.58,87.27,87.39,87.39,87.39,87.43,87.58,87.39,87.39,87.35,87.39,87.35,87.35,87.27,87.39,87.50,87.54,87.50,87.47,87.50,87.50,87.30,87.42,87.39,87.58,87.58,87.58,87.58,87.58,87.54,87.58,87.62,87.62,87.58,87.54,87.62,87.58,87.62,87.62,87.62,90.34,87.27,87.19,87.47,87.15,87.35,87.62,87.50,87.82,87.86,87.74,88.02,88.02,87.86,87.15,87.62,87.50,87.62,87.70,87.62,87.47,87.54,87.50,87.50,87.50,87.58,87.58,87.70,87.56,87.58,87.62,87.27,87.31,87.27,87.27,87.27,87.31,87.23,87.58,87.50,87.62,87.70,87.54,87.66,87.54,87.58,87.74,87.43,87.86,87.90
