,A-MT633431,B-JX195088,B-EF990707,B-JF490651,B-KJ753438,B-KT988208,B-JF490916,B-LC228384,B-KF371984,B-OP850489,B-PP861406,B-OP850491,B-JN706531,B-JQ837878,B-MT732501,B-LC386068,B-MZ066016,B-KJ752983,B-JN258371,B-MT410498,B-JN706530,B-MT723920,B-LC066642,B-LC086761,B-KX362878,B-LC086750,B-LC169965,B-LC169954,B-LC169943,B-LC086739,B-LC066664,B-LC066653,B-PX211305,B-MH704725,B-LC325461,B-LC260222,B-KX880426,B-MG652356,B-MG652352,B-MG652355,B-LC541983,B-LC228329,B-LC228318,B-KU059791,B-KU059769,B-KU059780,B-MG652348,B-MG652339,B-LC086728,B-LC086717,B-PX211226,B-OP850488,B-OP850487,B-OP850486,B-OP850485,B-OP850483,B-LC514495,B-LC514473,B-PX211228,B-MH704724,B-LC228307,B-MF997038,B-MW715609,B-KU550282,B-KU550280,B-KU870388,B-KU870410,B-KX880415,B-MZ546113,B-LC514484,B-KU550284,B-KU550283,B-KU550281,B-MH569766,B-MH569765,B-LC260228,B-MG599530,B-MG599529,B-LC430887,B-AB975550,B-AB975549,B-AB975466,B-AB975472,B-KY616888,B-AB848005,B-LC751042,B-LC751012,B-MG181659,A-EF672598,B-MZ027446,B-MZ027424,A-MG652331,A-KJ919614,A-MG652329,A-JX185761,A-KJ919638,A-LC172601,A-LC172588,A-HM773681,A-HM773670,A-MT633446,A-MT633444,A-JX027953,A-JX027940,A-KP007147,A-KF371691,A-JQ069692,A-JQ069688,A-JX027865,A-PX211314,A-LC430884,A-LC430883,A-OR205278,A-OR205276,A-KJ919698,A-MH171357,A-PX211248,A-OP850492,A-ON791868,A-OR205289,A-MG652342,A-MN478658
A-MT633431,,98.18,98.61,98.57,98.22,98.31,98.44,98.05,98.22,97.39,97.39,97.48,98.18,98.18,97.74,97.61,97.79,98.00,98.35,97.79,98.09,97.83,97.96,98.05,98.05,98.13,98.09,98.05,98.05,98.05,98.13,98.09,96.97,97.66,97.74,97.83,97.83,97.83,97.92,97.87,97.79,97.79,97.74,97.96,97.96,97.92,97.92,97.96,97.96,97.96,97.20,97.22,97.26,97.31,97.31,97.31,97.44,97.44,97.10,97.70,97.70,97.61,97.52,97.66,97.70,97.61,97.61,97.59,97.65,97.61,97.66,97.66,97.66,97.79,97.70,97.57,97.98,97.96,97.83,97.87,97.96,97.96,97.92,97.96,97.96,97.92,97.87,95.09,95.74,97.61,97.57,97.31,97.48,97.18,97.52,97.39,98.18,98.18,98.74,98.74,98.26,98.39,98.52,98.57,98.52,98.70,98.39,98.48,98.20,96.87,97.66,97.57,97.87,97.92,98.22,97.92,97.22,97.57,97.83,98.18,97.74,98.00
B-JX195088,98.18,,98.78,98.65,98.13,98.31,98.52,98.18,98.35,97.52,97.52,97.70,98.13,98.31,97.79,97.74,97.92,98.13,98.48,97.83,98.05,97.87,98.00,98.09,98.09,98.18,98.05,98.00,98.00,98.09,98.18,98.13,96.97,97.57,97.70,97.79,97.79,97.79,97.87,97.83,97.74,97.74,97.70,97.92,97.92,97.87,97.87,97.92,97.92,97.92,97.09,97.18,97.22,97.26,97.26,97.26,97.39,97.39,97.20,97.74,97.74,97.66,97.57,97.70,97.74,97.66,97.66,97.72,97.65,97.66,97.70,97.70,97.70,97.74,97.66,97.70,97.85,97.92,97.96,97.92,97.92,98.00,97.96,98.00,98.00,97.96,98.00,95.79,94.92,98.22,98.18,96.27,96.44,96.14,96.40,96.27,96.92,96.92,97.48,97.48,96.83,97.05,97.35,97.39,97.18,97.44,97.13,97.22,96.98,95.45,96.61,96.53,96.74,96.70,97.22,96.61,95.75,96.44,96.61,96.96,96.61,96.87
B-EF990707,98.61,98.78,,98.91,98.57,98.74,98.87,98.35,98.61,97.79,97.79,97.87,98.39,98.57,98.05,97.92,98.09,98.48,98.74,98.09,98.31,98.22,98.26,98.35,98.35,98.44,98.31,98.26,98.26,98.35,98.44,98.39,97.18,97.79,98.05,98.05,98.05,98.05,98.13,98.09,98.00,98.00,97.96,98.18,98.18,98.13,98.13,98.18,98.18,98.18,97.35,97.44,97.48,97.52,97.52,97.52,97.66,97.66,97.41,98.00,98.00,97.92,97.83,97.96,98.00,97.92,97.92,97.89,97.91,97.92,97.96,97.96,97.96,98.00,98.00,97.87,98.11,98.18,98.13,98.26,98.18,98.26,98.22,98.26,98.26,98.22,98.26,95.66,95.18,98.05,98.00,96.61,96.79,96.48,96.74,96.61,97.35,97.35,97.92,97.92,97.18,97.39,97.70,97.74,97.52,97.79,97.48,97.57,97.42,95.87,96.87,96.79,97.09,97.05,97.44,97.05,96.17,96.70,96.96,97.31,96.87,97.22
B-JF490651,98.57,98.65,98.91,,98.61,98.78,98.91,98.31,98.48,97.74,97.66,97.74,98.35,98.44,98.00,97.87,98.05,98.26,98.61,98.05,98.18,98.09,98.22,98.31,98.31,98.39,98.26,98.22,98.22,98.31,98.39,98.35,97.13,97.66,97.83,97.92,97.92,97.92,98.00,97.96,97.87,97.87,97.83,98.05,98.05,98.00,98.00,98.05,98.05,98.05,97.30,97.31,97.35,97.39,97.39,97.39,97.52,97.52,97.36,97.87,97.87,97.79,97.70,97.83,97.87,97.79,97.79,97.76,97.82,97.79,97.83,97.83,97.83,97.87,97.79,97.74,97.98,98.05,98.00,98.05,98.13,98.13,98.09,98.13,98.13,98.09,98.05,95.44,95.05,97.83,97.79,96.57,96.74,96.44,96.70,96.57,97.39,97.39,98.00,98.00,97.31,97.52,97.92,97.87,97.66,97.92,97.61,97.70,97.37,96.08,97.00,96.92,97.22,97.18,97.48,97.09,96.43,96.83,97.09,97.44,97.00,97.35
B-KJ753438,98.22,98.13,98.57,98.61,,99.39,99.52,97.96,98.18,97.35,97.35,97.44,98.09,98.18,97.70,97.66,97.70,98.00,98.35,97.70,97.92,97.74,97.87,97.96,97.96,98.05,97.92,97.87,97.87,97.96,98.05,98.00,97.02,97.48,97.74,97.83,97.83,97.66,97.74,97.70,97.70,97.70,97.66,97.87,97.87,97.83,97.83,97.87,97.87,97.87,97.09,97.22,97.26,97.31,97.31,97.31,97.44,97.44,97.05,97.70,97.70,97.61,97.52,97.66,97.70,97.61,97.61,97.59,97.60,97.61,97.66,97.66,97.66,97.70,97.61,97.74,97.76,97.83,97.92,97.96,97.96,97.96,97.92,97.96,97.96,97.92,97.87,95.22,94.79,97.52,97.39,96.40,96.57,96.31,96.53,96.44,96.96,96.96,97.70,97.70,97.05,97.18,97.52,97.57,97.31,97.57,97.44,97.52,97.29,95.51,96.57,96.48,96.79,96.74,97.22,96.66,95.81,96.40,96.83,97.00,96.57,96.92
B-KT988208,98.31,98.31,98.74,98.78,99.39,,99.70,98.05,98.31,97.48,97.48,97.57,98.26,98.35,97.83,97.79,97.87,98.18,98.52,97.87,98.09,97.92,98.05,98.13,98.13,98.22,98.09,98.05,98.05,98.13,98.22,98.18,97.02,97.66,97.83,97.92,97.92,97.83,97.92,97.87,97.87,97.87,97.83,98.05,98.05,98.00,98.00,98.05,98.05,98.05,97.20,97.31,97.35,97.39,97.39,97.39,97.52,97.52,97.26,97.87,97.87,97.79,97.70,97.83,97.87,97.79,97.79,97.76,97.78,97.79,97.83,97.83,97.83,97.87,97.79,97.83,97.94,98.00,98.09,98.13,98.13,98.13,98.09,98.13,98.13,98.09,98.05,95.18,94.79,97.57,97.52,96.40,96.57,96.31,96.53,96.44,97.05,97.05,97.70,97.70,97.05,97.26,97.57,97.61,97.39,97.66,97.44,97.52,97.29,95.51,96.57,96.48,96.79,96.74,97.13,96.66,95.81,96.40,96.74,97.00,96.57,96.92
B-JF490916,98.44,98.52,98.87,98.91,99.52,99.70,,98.18,98.44,97.61,97.61,97.70,98.39,98.48,97.96,97.92,98.00,98.31,98.65,98.00,98.22,98.05,98.18,98.26,98.26,98.35,98.22,98.18,98.18,98.26,98.35,98.31,97.18,97.79,97.96,98.05,98.05,97.96,98.05,98.00,98.00,98.00,97.96,98.18,98.18,98.13,98.13,98.18,98.18,98.18,97.35,97.44,97.48,97.52,97.52,97.52,97.66,97.66,97.41,98.00,98.00,97.92,97.83,97.96,98.00,97.92,97.92,97.89,97.91,97.92,97.96,97.96,97.96,98.00,97.92,97.96,98.07,98.13,98.22,98.26,98.26,98.26,98.22,98.26,98.26,98.22,98.18,95.35,94.92,97.79,97.74,96.53,96.70,96.44,96.66,96.57,97.18,97.18,97.83,97.83,97.26,97.48,97.79,97.83,97.61,97.87,97.66,97.74,97.42,95.66,96.79,96.70,96.92,96.87,97.35,96.79,95.96,96.53,96.87,97.13,96.70,97.05
B-LC228384,98.05,98.18,98.35,98.31,97.96,98.05,98.18,,98.96,98.13,98.22,98.22,98.39,98.65,98.22,98.09,98.35,98.48,98.83,98.26,98.39,98.31,98.44,98.52,98.52,98.61,98.48,98.44,98.44,98.52,98.61,98.57,97.60,97.87,98.05,98.13,98.13,98.13,98.13,98.18,98.09,98.09,98.05,98.26,98.26,98.22,98.22,98.26,98.26,98.26,97.83,97.61,97.66,97.70,97.70,97.70,97.83,97.83,97.73,98.09,98.09,98.00,97.92,98.05,98.09,98.00,98.00,98.07,98.04,98.00,98.05,98.05,98.05,98.09,98.00,97.96,98.20,98.26,98.22,98.26,98.26,98.35,98.31,98.35,98.35,98.31,98.26,95.27,94.49,97.48,97.44,95.87,96.05,95.74,96.01,95.87,96.66,96.66,97.22,97.22,96.61,96.83,97.18,97.13,96.96,97.18,96.96,97.05,96.77,95.30,96.27,96.18,96.48,96.44,96.83,96.48,95.65,96.09,96.35,96.70,96.27,96.61
B-KF371984,98.22,98.35,98.61,98.48,98.18,98.31,98.44,98.96,,99.09,99.09,99.17,98.74,98.91,98.48,98.35,98.52,98.74,99.09,98.44,98.74,98.48,98.61,98.78,98.70,98.78,98.65,98.61,98.61,98.70,98.78,98.74,97.60,98.13,98.31,98.39,98.39,98.39,98.39,98.44,98.35,98.35,98.31,98.52,98.52,98.48,98.48,98.52,98.52,98.52,97.78,97.79,97.83,97.87,97.87,97.87,98.00,98.00,97.83,98.35,98.35,98.26,98.18,98.31,98.35,98.26,98.26,98.24,98.26,98.26,98.31,98.31,98.31,98.35,98.26,98.22,98.46,98.52,98.48,98.52,98.52,98.61,98.57,98.61,98.61,98.57,98.52,95.57,94.75,97.70,97.66,96.05,96.22,95.92,96.18,96.05,97.09,97.09,97.57,97.57,96.79,97.05,97.35,97.39,97.22,97.44,97.22,97.31,96.94,95.30,96.53,96.44,96.66,96.61,97.09,96.61,95.65,96.27,96.53,96.87,96.44,96.79
B-OP850489,97.39,97.52,97.79,97.74,97.35,97.48,97.61,98.13,99.09,,99.57,99.65,97.92,98.09,97.74,97.61,97.70,97.92,98.26,97.70,97.92,97.74,97.79,97.96,97.87,97.96,97.83,97.79,97.79,97.87,97.96,97.92,96.87,97.39,97.48,97.57,97.57,97.57,97.57,97.61,97.61,97.61,97.57,97.70,97.70,97.66,97.66,97.70,97.70,97.70,97.14,97.05,97.09,97.13,97.13,97.13,97.26,97.26,97.20,97.52,97.52,97.44,97.35,97.48,97.52,97.44,97.44,97.50,97.52,97.52,97.57,97.57,97.57,97.61,97.52,97.39,97.63,97.70,97.66,97.79,97.79,97.87,97.83,97.87,97.87,97.83,97.79,94.79,94.27,96.87,96.83,95.57,95.74,95.44,95.70,95.57,96.27,96.27,96.74,96.74,95.96,96.35,96.61,96.66,96.40,96.61,96.40,96.48,96.24,94.72,95.79,95.70,95.92,95.87,96.27,95.83,95.02,95.61,95.79,96.14,95.70,96.05
